owl:Class,dct:identifier,schema:name,schema:performer,schema:addressLocality,ex:AblageortSTS,schema:addressRegion,schema:relatedLink,schema:Organization,ex:rep,ex:statusaaktivnanichtaktiv,ex:EckdatennichtSTS,ex:frühereNamen,ex:Dokumente1,ex:Dokumente2,ex:Dokumente3,ex:Dokumente4
spa:DatenbankUrsTruppenPuppentheater,STS-DatenbankUrsTruppenPuppentheater00000072,Les Bamboches (Compagnie les Bamboches),"Larvego-Ringger, Katia",Genève,Genève,GE,,Unima,,a,,,,,,
spa:DatenbankUrsTruppenPuppentheater,STS-DatenbankUrsTruppenPuppentheater00000073,Les croquettes (théâtre de marionnettes),,Genève,Chêne-Bourgeries,GE,,,,a,,,,,,
spa:DatenbankUrsTruppenPuppentheater,STS-DatenbankUrsTruppenPuppentheater00000074,Pannalal's Puppets (Théâtre de Marionnettes),-0,Genève,Genève,GE,,,,a,,,,,,
spa:DatenbankUrsTruppenPuppentheater,STS-DatenbankUrsTruppenPuppentheater00000075,Tête dans le sac – marionnettes,"Chevalier, Cécile +Fedele, Franck",Genève,Genève,GE,,Unima,,a,,,,,,
spa:DatenbankUrsTruppenPuppentheater,STS-DatenbankUrsTruppenPuppentheater00000076,Théâtre de Marionnettes de Berni Dardel,"Dardel, Berni",Genève,"Dardel, Berni",GE,,,,a,,,,,,
spa:DatenbankUrsTruppenPuppentheater,STS-DatenbankUrsTruppenPuppentheater00000077,Théâtre L'Articule,"Djahra, Fatna",Genève,Genève,GE,,Unima,,a,,,,,,
spa:DatenbankUrsTruppenPuppentheater,STS-DatenbankUrsTruppenPuppentheater00000078,Théâtre de marionettes de la Luciole,"Monney, Lucienne + Monney, Roger",Genève,Genève,GE,,,,a ,(noch existent?),,,,,
spa:DatenbankUrsTruppenPuppentheater,STS-DatenbankUrsTruppenPuppentheater00000079,Gondiswler Marionetten (Gondiswiler Marionettentheater Verein),-0,Gondiswil,Gondiswil,BE,,,,a,,,,,,
spa:DatenbankUrsTruppenPuppentheater,STS-DatenbankUrsTruppenPuppentheater00000080,CHORA Theater (Figurentheater),"Proske, Margrit",Grabs,"Proske, Margrit",SG,,Unima,,a,,,,,,
spa:DatenbankUrsTruppenPuppentheater,STS-DatenbankUrsTruppenPuppentheater00000081,Figurentheater Fleurlis Geschichten (fleurlis figuren),"Brack, Claudia",Grenchen,?,SO,,,,a,(noch existent?),,,,,
spa:DatenbankUrsTruppenPuppentheater,STS-DatenbankUrsTruppenPuppentheater00000082,Puppentheater Trio Gärtner,"Gärtner-Wepfer, Maya + Gärtner, Ernst + Altorfer, Erika",Grüt,"Gärtner, Maya und Ernst, auch unter: Grüt: Puppentheater Maya Gärtner",ZH,,,,na,1977-1999,,,,,
spa:DatenbankUrsTruppenPuppentheater,STS-DatenbankUrsTruppenPuppentheater00000083,Fährbetrieb (Figurentheater Fährbetrieb),"Fröhlich, Kurt + Peter, Sylvia",Herisau,Speicher,AR,,KTV Unima,,a,,,,,,
spa:DatenbankUrsTruppenPuppentheater,STS-DatenbankUrsTruppenPuppentheater00000084,Puppen Theater Bleisch (Puppentheater Bleisch),"Bleisch, Hanspeter + Bleisch, Ursula",Henggart,"Henggart, siehe auch unter: Bleisch, Hanspeter",ZH,,,,a,,,,,,
