owl:Class,dct:identifier,spa:accessionNumberPoster,schema:name,schema:author,eclap:director,schema:performer,spa:theaterSeason,eclap:firstPerformanceData,ex:Plakatart,ex:MasseincmHxB,ex:Technik,ex:Grafiker,ex:Drucker,ex:Verso,schema:comment
spa:Audio,STS-Plakat00000001,PL 001.001,Die Unterrichtsstunde. Komisches Drama.,"Ionesco, Eugène",R: Norbert Klassen; BB: Herbert Boss,"Brigitte Bissegger, Johanna Bossert, Norbert Klassen.",1974/75,10.03.1975,Stückplakat,29.7 x 42.0 cm,Siebdruck,Stephan Bundi,,,[1D] 
spa:Audio,STS-Plakat00000002,PL 001.002,Max Maximilian überlebt,"Halter, Claude",R: Claude Halter,"Rico Herold, Yvonne Roth.",1985/86,31.08.1985,Stückplakat,42.0 x 34.0 cm,Offfsetdruck,,,, Video-Theater
spa:Audio,STS-Plakat00000003,PL 001.003,Michel Hermon chante Piaf; Accompagné à l'accordéon par Gérard Barreaux,"Hermon, Michel",Collaboration artistique: Tilly,Michel Hermon,1993/94,15.09.1993,Stückplakat,29.7 x 42.0 cm,Offsetdruck,,,,
spa:Audio,STS-Plakat00000004,PL 001.004,Vive l'Europe,"Scheerbard, Paul",R: Laurence Calame; BB: Louis Yerly; K: Maritza Gligo; Li: Michel Beuchat; Régisseur général: Thomas Beimowsky,"Neige Dolsky, Marie Probst, Juliana Samarine, Pascal Bongard, Bernard Escalon, Jean-Michel Flagothier",1993/94,23.11.1993,Stückplakat,29.7 x 42.0 cm,Offsetdruck,,,,
spa:Audio,STS-Plakat00000005,PL 001.005,Soliloque sentimental à l’heure de la promenade des chiens,"Ducos, Dominique",Texte et R: Dominique Ducos; Scénographie et K: Titina Maselli; Li: Rémy Monachon; M: Renato Benvenuto,"Dominique Ducos, Lou Castel, Osvaldo Domini, Diogo Doria, Jacques Probst",1993/94,25.01.1994,Stückplakat,42.0 x 29.7 cm,Offsetdruck,Werner Jeker,,,
spa:Audio,STS-Plakat00000006,PL 001.006,Charcuterie fine,Tilly,"R: Tilly; Assistant: Jean Jenny; BB: Tilly, Jean Corthésy; K: Jeannine Gonzales; Li: Benoît Delhomme","Michèle Gleizer; Juliette Brac, Roland Amstutz, Antoine Régent, Samuel Grilli",1993/94,21.04.1994,Stückplakat,42.0 x 29.7 cm,Offsetdruck,,,,
spa:Audio,STS-Plakat00000007,PL 001.007,La Conquête du Pôle sud,"Karge, Manfred",R: Stanislas Nordey; Assistant: Jean-Charles Dumay; BB: Emmanuel Clolus; K: Isabelle Suran; Li: Stéphanie Daniel; Régie générale: Rémi Claude,"Gérard Belliard, Massimo Bellini, Marc Bodnar, Magali Fouchault, Pierre Marello, Laurent Sauvage, Jean-Jacques Simonian, Virginie Volmann",1993/94,28.09.1993,Stückplakat,42.0 x 29.7 cm,Siebdruck,,,,
spa:Audio,STS-Plakat00000008,PL 001.008,Border Line,"Auberson, Pascal; Francioli, Léon; Bourquin, Daniel",,"Pascal Auberson, Léon Francioli, Daniel Bourquin",1993/94,14.10.1993,Stückplakat,42.0 x 29.7 cm,Offsetdruck,,,,
spa:Audio,STS-Plakat00000009,PL 001.009,"Contes noirs, thé brûlant","Bolwes, Paul, Hedayat, Sedeq",R u BB u K: Eric Jeanmonod; Li: Jean-Philippe Roy; CH: Rossella Riccaboni; Coordination: Dominique Reichel,"Guillaume Arlaud, Nadia Arlaud, François Berthet, Christine Brotons, Bill Holden, Eric Jeanmonod, François Margot, Riana Rakotoarimanana, Rossella Riccaboni, Sandro Rossetti, Ammar Toumi, Claude Vuillemin",1993/94,12.10.1993,Stückplakat,42.0 x 29.7 cm,Offsetdruck,,,,
spa:Audio,STS-Plakat00000010,PL 001.010,(Urfaust) Faust Version Urfaust; Traduction de Roger Pillaudin,"Goethe, Johann Wolfgang von",R: Dominique Pitoiset; Dra: Brigitte Soubeyran; Scénographie: Laurent Peduzzi; Li: Christophe Pitoiset; K: Kattrin Michel; M: André Litolff,"Jean-François Sivadier, Hervé Pierre, Alain Tretout, Nadia Fabrizio, Chantal Neuwirth, Yves Favier",1993/94,26.10.1993,Stückplakat,42.0 x 29.7 cm,Offsetdruck,,,,
spa:Audio,STS-Plakat00000011,PL 001.011,La vie au-dessus et au dessous de 1000 mètres; Paroles et musique de Giovanna Marini,"Marini, Giovanna",M u Ltg.: Giovanna Marini,"Patrizia Bovi, Lucilla Galeazzi, Giovanna Marini, Patrizia Nasini",1993/94,02.11.1993,Stückplakat,42.0 x 29.7 cm,Offsetdruck,,,,
spa:Audio,STS-Plakat00000012,PL 001.012,John Gabriel Borkman,"Ibsen, Henrik",R: Luc Bondy; BB: Eric Wonder; M: Hans Peter Kuhn; K: Béatrice Leppert; Li: André Diot,"Michel Piccoli, Bulle Ogier, Nada Strancar, Bernard Nissille, Roland Amstutz, Christiane Millet, Christine Vouilloz",1993/94,30.11.1993,Stückplakat,42.0 x 29.7 cm,Siebdruck,Werner Jeker,Serigraphie Albin Uldry,,
spa:Audio,STS-Plakat00000013,PL 001.013,"L'homme qui; Recherche théâtrale de Peter Brook, à partir du livre d'Oliver Sacks ""L'Homme qui prenait sa femme pour un chapeau""","Brook, Peter (d'après Oliver Sacks)",,"Avec la collaboration de Marie-Héléne Estienne et des interprètes Maurice Bénichou, David Bennent, Sotigui Kouyate, Yoshi Oïda, Mahmoud Tabrizi-Zadeh (musique) et avec l'aide de Jean-Claude Carrière",1993/94,11.01.1994,Stückplakat,42.0 x 29.7 cm,Offsetduck,,,,
spa:Audio,STS-Plakat00000014,PL 001.014,Hygiène de l'assassin,"Nothomb, Amélie",R: Gérard Desarthe; Adaptation théâtrale: Benjamin Sire; Dra: Pascal Desfarges; BB: Daniel Jeanneteau; K: Nicole Galerne; Li: Hervé Audibert; Ton: André Serré,"Laura Morante, Jacques Ebner, Gérard Desarthe",1993/94,01.03.1994,Stückplakat,42.0 x 29.7 cm,Offsetdruck,,,,
spa:Audio,STS-Plakat00000015,PL 001.015,François d'Assise; Adaptation de Robert Bouvier et Adel Hakim,"Bouvier, Robert (d'après Joseph Delteil)","R: Adel Hakim, Robert Bouvier; BB: Yves Collet; Li: Ludovic Buter; Ton: Christoph Bollmann",Robert Bouvier,1993/94,24.03.1994,Stückplakat,42.0 x 29.7 cm,Offsetdruck,,,,
spa:Audio,STS-Plakat00000016,PL 001.016,La dernière bande,"Beckett, Samuel",R: Joël Jouanneau; BB: Jacques Gabel; Li: Frank Thévenon; Ton: Pablo Bergel,David Warrilow,1993/94,19.04.1994,Stückplakat,42.0 x 29.7 cm,"Offsetdruck



",,,,
spa:Audio,STS-Plakat00000017,PL 001.017,L'heure bleue ou la nuit des pirates; Traduction de Gilbert Musy,"Musy, Gilbert","R: Martine Paschoud; BB u. K: Jean-Claude Maret; Li: Liliane Tondellier; M: Gilles Abravanel, Daniel Perrin; Ton: Michel Zürcher","François Berthet, Françoise Chavaillaz, Armen Godel, Frédéric Landenberg, Jacques Maeder, Jacques Michel, Michel Rossy, Catherine Sumy, Anne Vouilloz",1993/94,16.03.1994,Stückplakat,42.0 x 29.7 cm,Offsetdruck,,,,
spa:Audio,STS-Plakat00000018,PL 001.018,Risotto; Un spectacle joué en français et cuisiné en italien,"Fago, Amadeo; Beggiato, Fabrizio",,"d Amedeo Fago, Fabrizio Beggiato",1993/94,10.05.1994,Stückplakat,42.0 x 29.7 cm,Offsetdruck,,,,
spa:Audio,STS-Plakat00000019,PL 001.019,Wilhelm Tell,"Schiller, Friedrich",R: Adolf Gastel; BB: Dr. J. Kaehlin,"Leopold Biberti, Robert Bichler, Gustav Pichler, Emil Siegenthaler, Erich Ernst Berg, Hans von Zedlitz, Harald Tauber, Lilly Stepanek, Ellen Fink, Suzy Kertes, Nico Karsten, ",1938/39,29.04.1939,Stückplakat,40.3 x 29.0,Buchdruck,,,,Premiere Solothurn: 29.4.1939
spa:Audio,STS-Plakat00000020,PL 001.020,Arlecchino & Truffaldino meat Claudia Schiffer,"Frey, Barbara; Daniel Ludwig, Herwig Ursin",R: Barbara Frey ,"Daniel Ludwig, Herwig Ursin",1996/97,05.11.1996,Stückplakat,42.0 x 29.7 cm,Offsetdruck,,,,
spa:Audio,STS-Plakat00000021,PL 001.021,Leonce und Lena oder ein deutsches Happy-End,"Büchner, Georg",R: Mirko Marr ,,1992/93,23.06.1993,Stückplakat,"40.5 x 29.0 cm




",Offsetdruck,Sylvia Betulius,,,[1D]
spa:Audio,STS-Plakat00000022,PL 001.022,Tatort Hirschegrabe Keine Leiche ohne Lily,"Popplewell, Jack ",R: Peter E. Wüthrich ,,1987/88,11.01.1988,Stückplakat,42.0 x 29.7 cm,Offsetdruck,,,,
spa:Audio,STS-Plakat00000023,PL 001.023,Häxewahn im alten Bern,"Kropf, Hugo; Herren, Marcel",R: Kurt Frauchiger,,1986/87,11.11.1986,Stückplakat,42.0 x 29.7 cm,Ofsetdruck,Kalmus Werbung Bern,,,
spa:Audio,STS-Plakat00000024,PL 001.024,International Black Dance,0,,"Regina Ribeiro, Helen Pringle",,,Stückplakat,42.0 x 29.7 cm,Offsetdruck,,,,
spa:Audio,STS-Plakat00000025,PL 001.025,"Lesung Performance, Diashow, Inszenierung",0,,"Gunter Göring, Jürgen Klauke",1982/83,23.10.1982,Stückplakat,42.0 x 29.7 cm,Offsetdruck,,,,
spa:Audio,STS-Plakat00000026,PL 001.026,"Adolphe Appia, der Genfer Bühnenreformator","Dr. Dreier, Martin; Appia, Adolphe",,Dr. Martin Dreier,1987/88,12.02.1988,Vortragsplakat,42.0 x 29.7 cm,Fotokopie,,,,
spa:Audio,STS-Plakat00000027,PL 001.027,Roberto Zucco ,"Koltès, Bernard-Marie ",R: Denis Maillefer; Li: Eric Gasser; M: Arthur Besson; K: Marie Barone,"Giovanni Guardiano, Simona Maicanescu, Sandra Gaudin, Patricia Bopp, Pierre Heitz, Miguel Québatte, Marie-Josèphe Henry, Bernard Junod, Fabienne Barraud, Zouqo d'Angelo, Ahmed Belbachir, Akram Tellawe, Rita Gay, Jean Cuénot, Christine Simond, Georges Brasey, Jean-Marie Daunas, Carine Cuendet, Julie Monot, Laurence Amy, Nicole Cherubini, Adra Barschel, Adrienne Butty, Jean-Daniel Chanson, Miguel Fernandez, Bernard Kordylas",1994/95,28.03.1995,Stückplakat,42.0 x 29.7 cm,Offsetdruck,,,,Prod. Truppe: Genève: Théâtre en flammes
spa:Audio,STS-Plakat00000028,PL 001.028,Alienor,"Morax, René; Doret, Gustave",R: Jean Chollet; ML: Robert Mermoud;  BB: u K:Pierre Estoppey,,1986/87,30.05.1987,Stückplakat,42.0 x 29.7 cm,Offsetdruck,,,,
spa:Audio,STS-Plakat00000029,PL 001.029,Endspiel,"Beckett, Samuel",R: Urs Bürgin ,Renate Rottmann,1990/91,05.03.1991,Stückplakat,42.0 x 29.7 cm,Fotokopie,,,,
spa:Audio,STS-Plakat00000030,PL 001.030,Schweizer Uraufführung,"Cartwrights, Jim",R: Simon Rosenheim ,,,,Stückplakat,42.0 x 29.7 cm,Fotokopie,,,,
spa:Audio,STS-Plakat00000031,PL 001.031,"Mademoiselle Julie, La Danse de Mort","Strindberg,  August",,,1988/89,23.05.1989,Stückplakat,42.0 x 29.7 cm,Offsetdruck,,,,
spa:Audio,STS-Plakat00000032,PL 001.032,2 Strindberg,"Strindberg, August",?,,1988/89,23.05.1989,Stückplakat,42.0 x 29.7 cm,Offsetdruck,,,,
spa:Audio,STS-Plakat00000033,PL 001.033,La lettre de New York; Texte de Jacques Probst,"Probst, Jacques", ,"Jacques Probst, Patrick Mamie, Paul Esmerode",1989/90,13.02.1990,Konzertplakat,42.0 x 29.7 cm,Offsetdruck,Martine Walzer,,,
spa:Audio,STS-Plakat00000034,PL 001.034,La tragédie de Macbeth; Texte français de Jean-Michel Déprats; Musique de Hugh Levick,"Shakespeare, William",R u BB: Matthias Langhoff; Li: Liliane Tondellier; K: Maria Roers,"Daniel Briquet, Agnès Dewitte, Damien Dodane, Christian Drillaud, Sylvia Faleni, Jean-Michel Flagothier, Pierre-André Gamba, Judith Henry, Hugh Levick, Dyssia Loubatière, Marie-Ange Martin, Joëlle Payet, Olivier Perrier, Gilles Privat, Jacques Roman, Nicola Rudnitzky, Michèle Sigal, Liliane Tondellier",1988/89,19.04.1989,Stückplakat,42.0 x 29.7 cm,Offsetdruck,M.Waltzer,,,
spa:Audio,STS-Plakat00000035,PL 001.035,Animation Choindez 85-86/  Spectacles-stages-expositions,0,,,1985/86,,Spielplanplakat,42.0 x 29.7 cm,Offsetdruck,,,,
spa:Audio,STS-Plakat00000036,PL 001.036,Yuya und der Zauberer,Fischer; Kaspar,,Kaspar Fischer ,1984/85,12.03.1985,Stückplakat,42.0 x 29.7 cm,Offsetdruck,Kaspar Fischer ,,,Plakat der Uraufführung. 4- 30. März 1985 Ausstellung in der Zähringer Galerie
spa:Audio,STS-Plakat00000037,PL 001.037,Audienz/ Vernissage,"Havel, Vaclav",R: Gerhard Palder ,,1976/77,02.04.1977,Stückplakat,43.0 x 30.4 cm,Offsetdruck,,,,
spa:Audio,STS-Plakat00000038,PL 001.038,Exposition Marguerite Duras,"Duras, Marguerite",,Marguerite Duras,1984/85,18.04.1985,Ausstellungsplakat,42.0 x 29.7 cm,Offsetdruck,,,,
spa:Audio,STS-Plakat00000039,PL 001.039,Em Chesselflicker sis Hochsig,"Synge, John Millington",,Eine Aufführung der Theaterpädagogen der Schauspiel-Akademie Zürich,,,Stückplakat,42.0 x 29.7 cm ,Offsetdruck,,,,
spa:Audio,STS-Plakat00000040,PL 001.040,Pietro Aretino,"Jourdheuil, Jean; Peyret, Jean-François ",,,1985/86,03.12.1985,Stückplakat,42.0 x 29.7 cm,Offsetdruck,,,,
spa:Audio,STS-Plakat00000041,PL 001.041,Jeanne oder die Lerche,"Anouilh, Jean ",,Die Sekundarschüler/ innenfür sehbehinderte Kinder  und Jugendliche Zollikofen,1991/92,09.06.1992,Stückplakat,42.0 x 29.7 cm,Offsetdruck,,,,
spa:Audio,STS-Plakat00000042,PL 001.042,Internationales Kindertheaterfest 5300 Thurgi,0,,Kinder spielen für Kinder,1990/91,26.07.1991,Stückplakat,42.0 x 29.7 cm ,Offsetdruck,,,,
spa:Audio,STS-Plakat00000043,PL 001.043,Equus,"Shaffer, Peter",R: Franz Weber ,,1991/92,03.08.1991,Stückplakat,42.0 x 29.7 cm,Offsetdruck,Stephan Bundi,,,
spa:Audio,STS-Plakat00000044,PL 001.044,William's Party; Concert du groupe Karl Specht (Au Téâtre pour dix Francs),0,,"Arthur Besson (guitare et sax), Marc-Etienne Besson (basse), Hervé Jobin (chant), Nicolas Meyer (batterie), Philippe de Rahm (sono)",1990/91,19.09.1990,Stückplakat,42.0 x 29.7 cm,Offsetdruck,,,,Le groupe Karl Specht joue dans “La Duchesse de Malfi” et dans d'autres spectacles de la saison
spa:Audio,STS-Plakat00000045,PL 001.045,Cantate profane à quatre voix; Paroles et musique de Giovanna Marini (Au Téâtre pour dix Francs),"Marini, Giovanna",M u Ltg.: Giovanna Marini,"Lucilla Galeazzi, Giovanna Marini, Silvia Marini, Patrizia Nasini",1990/91,30.09.1990,Stückplakat,42.0 x 29.7 cm,Offsetdruck,,,,Aufführungsstätte: Chapiteau
spa:Audio,STS-Plakat00000046,PL 001.046,Le plus beau de l’ histoire (Au Téâtre pour dix Francs),"Rullier, Christian",R: Marylin Alassey,Christiane Cohendy,1990/91,20.11.1990,Stückplakat,42.0 x 29.7 cm,Offsetdruck,,,,Aufführungsstätte: La Passerelle
spa:Audio,STS-Plakat00000047,PL 001.047,"Marionnettes: Rezo Gabriadze, Tbilissi Georgie",0,,"Rezo Gabriadze, Tbilissi Georgie",1990/91,04.12.1990,Stückplakat,42.0 x 29.7 cm,Offsetdruck,,,,
spa:Audio,STS-Plakat00000048,PL 001.048,L'otage; Texte français de Charlie Nelson (Au Téâtre pour dix Francs),"Behan, Brendan",R: Matthias Langhoff; M: Karl Specht; BB: Catherine Rankl; K: Conchita Salvador; Li: Rémy Monachon; CH: Yolande Marzolff,"Gilles Privat, Myriam Boyer, Charlie Nelson, Jacques Probst, Jacques Roman, Trinidad Iglesias, Béatrice Guillemet, Marie Darriet, Sylvie Chaintrier, Jo Jobin, Anne-Cécile Moser, Frédéric Landenberg, Hubert Cudré, Nicolas Meyer, Market Besson, Arthur Besson, Horacio Palacios, Louis Yerly",1990/91,15.01.1991,Stückplakat,42.0 x 29.7 cm,Offsetdruck,,,,"Aufführungsstätte: Salle Charles-Apothéloz; Prod. Truppe: Co-Prod.: Théâtre de la Ville, Paris; Théâtre Vidy-Lausanne"
spa:Audio,STS-Plakat00000049,PL 001.049,La maman et la putain (Au Téâtre pour dix Francs),"Eustache, Jean",R: Jean-Louis Martinelli; BB: Paul Hickin; Li: Claude Couffin; K: Daniel Charton,"Catherine Anne, Gérard Barreaux, Charles Berling, Marie Matheron, Sylvie Milhaud",1990/91,15.02.1991,Stückplakat,42.0 x 29.7 cm,Offsetdruck,,,,Aufführungsstätte: La Passerelle; Prod. Truppe: Co-Prod.: Théâtre de Lyon; Le Sorano Théâtre National Toulouse Midi-Pyrénées
spa:Audio,STS-Plakat00000050,PL 001.050,Mesure pour mesure [D] Mass für Mass. Traduction de Jean-Michel Déprats (Au Téâtre pour dix Francs),"Shakespeare, William",R: Peter Zadek; BB u K: Johannes Grützke; M: Peer Raben; Li: André Diot,"Roland Amstutz, Pascal Bongart, Philippe Clevenot, Jean-Mari Frin, André Marcon, Isabelle Huppert, Jean-Pierre Jorris, Jean-Claude Leguay, François Marthouret, Zazie de Paris, Christine Pignet, Anouschka Renzi, Anton Rey, Béatrice Romand, Heinz Schubert",1990/91,11.04.1991,Stückplakat,42.0 x 29.7 cm,Ofsetdruck,,,,"Aufführungsstätte: Salle Charles-Apothéloz; Prod. Truppe: Co-Prod.: Odéon-Théâtre de l'Europe; Le Volcan, Maison de la Culture du Havre; Théâtre Vidy-Lausanne"
spa:Audio,STS-Plakat00000051,PL 001.051,"Hört, Seht, Weint und Liebt.",0,,,1991/92,21.02.1992,Ausstellungsplakat,42.0 x 29.7cm,Ofsetdruck,Ludwyg Suter,"Maihof AG, Luzern",,
spa:Audio,STS-Plakat00000052,PL 001.052,Maries julegave,"Mogensens, Jan",R: Bet IIdvedsen,,,,Stückplakat,42.0 x 29.7 cm,Offsetdruck,,,,
spa:Audio,STS-Plakat00000053,PL 001.053,Die Nachtigall,"Andersen, Hans Christian",R: Ernst Georg Böttger,Mime Bern,1991/92,01.02.1992,Stückplakat,42.0 x 29.7 cm,Fotokopie,,,,
spa:Audio,STS-Plakat00000054,PL 001.054,Ballettvorstellung,Elmer Liliane,CH: Liliane Elmer,,,,Stückplakat,42.0 x 29.7 cm,,Pfister Bern,Bubblejet/ Farbkopie,,
spa:Audio,STS-Plakat00000055,PL 001.055,Norma,"Bellini, Vincenzo",R: Georges Delnon; BB: Erich Fischer,,1995/96,21.05.1996,Stückplakat,42.0 x 29.7 cm,Offsetdruck,,,,
spa:Audio,STS-Plakat00000056,PL 001.056,J' arrive. Spectacle pour femme seule,"Frelat, Françoise; Vincent Aubert",R: Vincent Aubert,Françoise Frelat,1996/97,06.05.1997,Stückplakat,42.0 x 29.7 cm,Offsetdruck,Atelier Le Belvédère,,,
spa:Audio,STS-Plakat00000057,PL 001.057,Die Juden. Lustspiel in einem Akt (verfertigt im Jahre 1749),"Lessing, Gotthold Ephraim","R: Volker Hesse u Paul Roland; BB: Marc Boss, Daniel Haldemann, Elisabeth Röthlisberger, Jeannette Vuillemin","Barbara Grimm, Ursula Moll, Marlise Fischer, Beat Gähwiler, Regula Steiner, Claudia Burckhardt, Lorenz Hugener, Monika Baumgartner, Regula Küffer, Eva Amsler",1975/76,03.03.1976,Stückplakat,42.0 x 29.7 cm,Offsetdruck,,,,Prod. Truppe: Bern: Schauspielschule des Konservatoriums Bern (Abschlussklasse). Zusammenarbeit mit Kunstgewerbeschülern und Musikstudenten
spa:Audio,STS-Plakat00000058,PL 001.058,Der tollste Tag (Figaros Hochzeit),"Turrini, Peter, nach Pierre  Augustin Caron de Beaumarchais; B: Remise-Bühni",R: Lang Reto,Remise Bühni Jegensdorf,1996/97,09.07.1997,Stückplakat,42.0 x 29.7 cm,Offsetdruck,,,,
spa:Audio,STS-Plakat00000059,PL 001.059,Alle lieben Opal,"Patrick, John; B: Vreni Balmer, nach Willy H. Thiem","Moser, Jürg",Mundartbühni Uetendorf,1996/97,02.04.1997,Stückplakat,42.0 x 29.7 cm,Offsetdruck,Hannes Zaugg-Graf,Wenger druck AG. Thierachern,,
spa:Audio,STS-Plakat00000060,PL 001.060,Max Herrmann und die Anfänge der deutschsprachigen Theaterwissenschaft,"Herrmann, Max",,,1992/93,26.04.1993,Ausstellungsplakat,42.0 x 29.7 cm,Offsetdruck,Heinz Jost,,,
spa:Audio,STS-Plakat00000061,PL 001.061,Danse Noel,0,,,1996/97,27.12.1996,Stückplakat,42.0 x 29.7 cm,Offsetdruck,, ,,
spa:Audio,STS-Plakat00000062,PL 001.062,Ein Römisches Provinztheater,0,,,1997,08.03.1997,Ausstellungsplakat,42.0 x 29.7 cm,Offsetdruck,,,,
spa:Audio,STS-Plakat00000063,PL 001.063,De vierzigscht Hochsigstag,"Graham, John; B: Overhoff, Paul, Preis, Markus","Bachmann, Walter",Dramatischer Verein,2000/01,13.01.2001,Saisonplakat+Stückplakat,42.0 x 29.7 cm,Offsetdruck,Werbeagentur Riederer,,,
spa:Audio,STS-Plakat00000064,PL 001.064,Im Himmel. Soloprogramm von und mit Kaspar Fischer,"Fischer, Kaspar",,Kaspar Fischer,1981/82,21.01.1982,Stückplakat,42.0 x 29.7 cm,Offsetdruck,Kaspar Fischer,,,
spa:Audio,STS-Plakat00000065,PL 001.065,Klassische Gitarre bei Kerzenlicht. Jubiläumsprogramm 20 Jahre „Musique intime pour guitare“,0,,Rudolf Wangler,1978,,Konzertplakat,42.0 x 29.7 cm,Offsetdruck,,,,[1D]
spa:Audio,STS-Plakat00000066,PL 001.066,Le Spectacle des Automates,0,,,0,,Ausstellungsplakat,42.0 x 29.7 cm,Offsetdruck,,,,
spa:Audio,STS-Plakat00000067,PL 001.067,"Charme hoch 3: Aurora, Caruso küsst Kardinal und Dürzug im Schlafzimmer","Shaw, George Bernard; Awertschenko, A.","Brechbühler, Kathrin, Hugo Kropf, G. Thélin",Neue Volkbühne Bern,1989/90,02.05.1990,Stückplakat,42.0 x 29.7 cm,Offsetdruck,Kalmus Werbegrafik Bern,,,
spa:Audio,STS-Plakat00000068,PL 001.068,Aschenputtel. Märchenspiel nach den Brüdern Grimm u AG,"Grimm, Gebrüdern; Gruber, Alexander",R: Hans-Peter Incondi,,1990/91,24.11.1990,Stückplakat,42.0 x 29.7 cm,Offsetdruck,,,,
spa:Audio,STS-Plakat00000069,PL 001.069,"Schlitzohre (""Brave Diebe""/""Dear Delinquent"")","Popplewell, Jack; Heiniger, B: Christine  u Aragâo, Claudia ",R: Kathrin Brechbühler,Neue Volksbühne Bern,1990/91,19.03.1991,Stückplakat,42.0 x 29.7 cm,Offsetdruck,Hans Holzherr,,,
spa:Audio,STS-Plakat00000070,PL 001.070,Medrano Circus,0,,,,,Stückplakat,42.0 x 29.7 cm,Offsetdruck,,,,
spa:Audio,STS-Plakat00000071,PL 001.071,Le Pain dur. Drame en trois actes.,"Claudel, Paul",R: Elena Vuille-Mondada; BB u.K: Mélisse Brunner; M: Jorge Pepi; Li: Jean-Jacques Schenk.,"Rodolphe Ittig, Liécane, Doris Ittig, Jean-Yves Pidoux, Guy Delafontaine.",1988/89,14.02.1989,Stückplakat,42.0 x 29.7 cm,Offsetdruck,Antoine Guex,,,
spa:Audio,STS-Plakat00000072,PL 001.072,Till,"Tissi, Felix",R: Felix Tissi,"Sven Simon, Louis Blöchlinger, Cecilie Kellner, Erik Göller",,,Filmplakat,42.0 x 29.7 cm,Offsetdruck,Stephan Bundi,,,
spa:Audio,STS-Plakat00000073,PL 001.073,Theatralia,0,,Theatersammlung Bern,1988/89,21.06.1989,Ausstellungsplakat,42.0 x 29.7 cm,Offsetdruck,,,,[1D]
spa:Audio,STS-Plakat00000074,PL 001.074,Insel mit Schiffbrüchigen,"Suter, Lukas B.",,,1996/97,14.10.1996,Stückplakat,42.0 x 29.7 cm,Offsetdruck,K.Wirz,,,
spa:Audio,STS-Plakat00000075,PL 001.075,Brazilian Night ,0,,"Susann Hirt, Anna Kurz",,,Stückplakat,42.0 x 29.7 cm,,,Fotokopie,,
spa:Audio,STS-Plakat00000076,PL 001.076,Faust II,"Goethe, Johann Wolfgang","R: Kurt Josef Schildknecht,Graz","Prof.Margret Dietrich, Dr. Herbert Meier, Dr. Charles Cornu, Dr. Michel Schaer, Prof. Roland Ris",1985/86,26.10.1985,Veranstaltungsplakat,42.0 x 29.7 cm,Fotokopie,,,,
spa:Audio,STS-Plakat00000077,PL 001.077,Berne à la carte,0,,Kostbarkeiten aus der Karten und Plansammlung des Staatsarchivs,1995,30.01.1995,Ausstellungsplakat,42.0 x 29.7 cm,Offsetdruck,,,,
spa:Audio,STS-Plakat00000078,PL 001.078,Das Fest,0,,20 Jahre Musikschule Köniz,1996/97,13.09.1996,Veranstaltungsplakat,42.0 x 27.5 cm,Offsetdruck,,,,
spa:Audio,STS-Plakat00000079,PL 001.079,Das Schweigen der Männer,"Klopfenstein, Clemens ",R: Clemens Klopfenstein,"Polo Hofer, Max Rüdlinger",,,Filmplakat,42.0 x 29.7 cm,Offsetruck,Hanna Koller,,,
spa:Audio,STS-Plakat00000080,PL 001.080,Dornröschen,"Schneider, Jörg; Grimm, Gebrüder;","Borcard, Marlis",Bern: Neue Volksbühne,1986/87,06.12.1986,Stückplakat,42.0 x 29.7 cm,Offsetdruck,Kalmus Werbung Bern,,,
spa:Audio,STS-Plakat00000081,PL 001.081,"En Sack voll Flöö (""Dear Children"")","Popplewell, Jack; B: Keller, Hansueli ","Binder, Rudolf",Dramatischer Verein Stadel,1995/96,13.01.1996,Saisonplakat + Stückplakat,49.0 x 35.0 cm,Offsetdruck,,,,
spa:Audio,STS-Plakat00000082,PL 001.082,Der alte Zauber (Eine Szenische Collage von Regina Christen und Rita Portmann),"Glauser, Friedrich","R: Regina Christen; Dramaturgie: Rita Portmann; Li: Christian Hersche; BB: Charlotte Schnegg; K: Eliane Marchand; Technik: Verena Boser, Simon Hofer","Markus Rub, Christoph Sommer, Ruth Gundacker, Jacqueline Walser",1995/96,08.05.1996,Stückplakat,42.0 x 29.7 cm,Offsetdruck,,,,
spa:Audio,STS-Plakat00000083,PL 001.083,"Arien und Chöre aus Oper, Operette und Musical",0,ML: Bruno Goetze,"Christa Goetze, Hans Peter König, Berner Gemischter Chor, Akademisches Orchester Basel",1996/97,17.11.1996,Konzertplakat,42.0 x 29.7 cm,Fotokopie ,,,,
spa:Audio,STS-Plakat00000084,PL 001.084,Opal en Edelstei under Lumpe,"Patrick, John; B: Weibel, Viktor ",,Dramatischer Verein Stadel,1982/83,15.01.1983,Stückplakat,49.5 x 37.0,Offsetdruck,,,,
spa:Audio,STS-Plakat00000085,PL 001.085,"Guitare et violon. Rudolf Wangler und Hansheinz Schneeberger spielen Musik von Filippo Gragnani, Niccolo Paganini, Christian Gottlieb Scheidler, ",0,,"Rudolf Wangler (Gitarre), Hansheinz Schneeberger (Violine)",1974/75,16.10.1974,Konzertplakat,42.0 x 29.7 cm,Offsetdruck,,,,
spa:Audio,STS-Plakat00000086,PL 001.086,The Caretaker; Der Hausmeister,"Pinter, Harold ",R: Julia Pascal,"Sam Cox, Will Knightley, Donald Pelmear(Produktion: The new Shakespeare Company,London",1980/81,12.10.1980,Stückplakat,42.0 x 29.7 cm,Offsetdruck,,,,
