owl:Class,dct:identifier,spa:accessionNumberPoster,schema:name,schema:author,eclap:director,schema:performer,spa:theaterSeason,eclap:firstPerformanceData,ex:Plakatart,ex:MasseincmHxB,ex:Technik,ex:Grafiker,ex:Drucker,ex:Verso,schema:comment
spa:Audio,STS-Plakat00006128,PL 037.232,Sand. Tanztheaterprojekt,"Nübling, Sebastian; Ives Thuwis","Sebastian Nübling, ives Thuwis","Alejandra Jenni, Anselm Müllerschön, Jan Bluthardt, Jara Bihler, Joris Mundwyler, Franziska Machens, Sean McDonagh, Nora Vonder Mühll, Rula Badeen, Tobias Koch, Stefan Karrer, Daniel Karrer, Ambrosius Huber, Zoë Valks

",2011/12,10.12.2011,Stückplakat,59 x 42,,,,"
x",
spa:Audio,STS-Plakat00006129,PL 037.233,Merlin oder Das wüste Land,"Dorst, Tankred",Christian Stückl,"Gábor Biedermann, Gottfried Breitfuss, Ursula Doll, Nicola Fritzen, Michael Gempart, Lukas Holzhausen, Sarah Hostettler, Fabian Müller, Matthias Renger, Anna Schinz, Jonas Schlagowsky, Milian Zerzawy, Jirka Zett, Jost op den Winkel

",2011/12,26.11.2011,Stückplakat,59 x 42,,,,"
x",
spa:Audio,STS-Plakat00006130,PL 037.234,D’Zäller Wiehnacht. Krippenspiel als Erinnerungsreise älterer Menschen.,"Burkhard, Paul",Klaus Brömmelmeier,"Bruno Straub, Hans-Rudolf Strässler, Monika Rusconi, Thomas Rabenschlag, Verena Höhn, Vreni Urech

",2011/12,25.11.2011,Stückplakat,59 x 42,,,,"
x",
spa:Audio,STS-Plakat00006131,PL 037.235,Zwerg Nase. Nach Wilhelm Hauff,"Rad, Corinna von (nach Wilhelm Hauff)",Corinna von Rad,"Daniele Bianco, Thomas Douglas, Irene Eichenberger, Jeroen Engelsman, Pascal Goffin, Camilla Gomes dos Santos, Miriam Jenni, Jürg Kienberger, Nicolas Rosat, Lilith Stangenberg, Rainer Süssmilch",2011/12,19.11.2011,Stückplakat,59 x 42,,,,"
x",
spa:Audio,STS-Plakat00006132,PL 037.236,Magazin des Glücks. Drei Szenen,"Loher, Dea",Nina Mattenklotz,"Fritz Fenne, Sarah Hostettler, Milian Zerzawy",2011/12,02.06.2012,Stückplakat,59 x 42,,velvet.ch,,"
x",
spa:Audio,STS-Plakat00006133,PL 037.237,Volksvernichtung oder Meine Leber ist sinnlos,"Schwab, Werner",Heike M. Goetze ,"Ludwig Boettger, Patrick Güldenberg, Franziska Machens, Miriam Maertens, Isabelle Menke, Nicolas Rosat, Milian Zerzawy",2011/12,17.09.2011,Stückplakat,59 x 42,,velvet.ch,,"
x",
spa:Audio,STS-Plakat00006134,PL 037.238,Saisoneröffnung,,,,2011/12,15.09.2011,Veranstaltungsplakat,59 x 42,,velvet.ch,,"
x",
spa:Audio,STS-Plakat00006135,PL 037.239,Illusionen,"Wyrypajew, Iwan",Julia Burger,"Karin Enzler, Patrick Güldenberg, Janina Schauer

",2011/12,18.02.2012,Stückplakat,59 x 42,,velvet.ch,,"
x",
spa:Audio,STS-Plakat00006136,PL 037.240,Zwanzigtausend Seiten,"Bärfuss, Lukas",Lars-Ole Walburg ,"Ludwig Boettger, Klaus Brömmelmeier, Ursula Doll, Lukas Holzhausen, Franziska Machens, Sean McDonagh

",2011/12,02.02.2012,Stückplakat,59 x 42,,velvet.ch,,"
x",
spa:Audio,STS-Plakat00006137,PL 037.241,Die Schlangenhaut,"Snajder, Slobodan",,,,,,86 x 31,,,,"
x",
