owl:Class,dct:identifier,schema:name,schema:addressLocality,ex:AblageortSTS,schema:addressRegion,schema:relatedLink,schema:Organization,ex:Statusaaktivnanichtaktiv,ex:EckdatennichtSTS,ex:frühereNamen,ex:Dokumente1,ex:Dokumente2,ex:Dokumente3,ex:Dokumente4
spa:DatenbankUrsAmateurtheater,STS-DatenbankUrsAmateurtheater00000651,Kinder- und Jugendtheater Saperlott,Einsiedeln,Einsiedeln (nicht ZSV),SZ,,RZV,a,,,,,,
spa:DatenbankUrsAmateurtheater,STS-DatenbankUrsAmateurtheater00000652,Spedakel,Einsiedeln,Einsiedeln (nicht ZSV),SZ,,-0,a,,,,,,
spa:DatenbankUrsAmateurtheater,STS-DatenbankUrsAmateurtheater00000653,Theatergruppe Chärnehus,Einsiedeln,Einsiedeln,SZ,,RZV,a,,"Theatergruppe des Vereins ""Fürs Chärnehus""",,,,
spa:DatenbankUrsAmateurtheater,STS-DatenbankUrsAmateurtheater00000654,Welttheatergesellschaft Einsiedeln (Welttheater-Gesellschaft Einsiedeln),Einsiedeln,Einsiedeln,SZ,,RZV,a,,,,,,
spa:DatenbankUrsAmateurtheater,STS-DatenbankUrsAmateurtheater00000655,Hard-Bühne Embrach,Embrach,Embrach,ZH,,-0,a,,,,,,
spa:DatenbankUrsAmateurtheater,STS-DatenbankUrsAmateurtheater00000656,Heimatbühne Emmen (später: Theaterlüüt Ämme),Emmen,Emmen,LU,,-0,na,,,,,,
spa:DatenbankUrsAmateurtheater,STS-DatenbankUrsAmateurtheater00000657,Theaterlüüt Ämme,Emmen,Emmen,LU,,RZV,a,,Heimatbühne Emmen,,,,
spa:DatenbankUrsAmateurtheater,STS-DatenbankUrsAmateurtheater00000658,Esstheater Sonne (Theatergruppe Virus),Emmenbrücke,Emmenbrücke,LU,,,,,,,,,
spa:DatenbankUrsAmateurtheater,STS-DatenbankUrsAmateurtheater00000659,"Projekt ""Heimat 611""",Emmenbrücke,Emmenbrücke,LU,,-0,na,,,,,,
spa:DatenbankUrsAmateurtheater,STS-DatenbankUrsAmateurtheater00000660,Theaterspielgruppe Emmenbrücke,Emmenbrücke,Emmenbrücke,LU,,,,,,,,,
spa:DatenbankUrsAmateurtheater,STS-DatenbankUrsAmateurtheater00000661,Gemischter Chor Emmenmatt,Emmenmatt,Emmenmatt,BE,,BVGT,a,(noch existent?),,,,,
spa:DatenbankUrsAmateurtheater,STS-DatenbankUrsAmateurtheater00000662,Trachtengruppe Emmenmatt,Emmenmatt,Emmenmatt,BE,,BVGT,a,(noch existent?),,,,,
spa:DatenbankUrsAmateurtheater,STS-DatenbankUrsAmateurtheater00000663,Theatergruppe Emmetten,Emmetten,Emmetten,NW,,RZV,a,,,,,,
spa:DatenbankUrsAmateurtheater,STS-DatenbankUrsAmateurtheater00000664,Theatergruppe Engelberg,Engelberg,Engelberg,OW,,RZV,a,,,,,,
spa:DatenbankUrsAmateurtheater,STS-DatenbankUrsAmateurtheater00000665,La Boîte d’Enchois,Enges,Enges (nicht ZSV),NE,,FSSTA,a,,,,,,
spa:DatenbankUrsAmateurtheater,STS-DatenbankUrsAmateurtheater00000666,Weihnachtsspiel Ennetbaden,Ennetbaden,Ennetbaden,AG,,-0,a,,,,,,
spa:DatenbankUrsAmateurtheater,STS-DatenbankUrsAmateurtheater00000667,Theatergruppe Ennetbürgen,Ennetbürgen,Ennetbürgen,LU,,RZW,a,,,,,,
spa:DatenbankUrsAmateurtheater,STS-DatenbankUrsAmateurtheater00000668,Theatergruppe Ennetmoos,Ennetmoos,Ennetmoos,NW,,RZV,a,,,,,,
spa:DatenbankUrsAmateurtheater,STS-DatenbankUrsAmateurtheater00000669,Bühne Amt Entlebuch,Entlebuch,Entlebuch,LU,,-0,a,,,,,,
spa:DatenbankUrsAmateurtheater,STS-DatenbankUrsAmateurtheater00000670,Theatergesellschaft Entlebuch (Operette Entlebuch),Entlebuch,Entlebuch,LU,,-0,a,,,,,,
spa:DatenbankUrsAmateurtheater,STS-DatenbankUrsAmateurtheater00000671,Cie „Les Jars Noirs“,Epalinges,Epalinges (nicht ZSV),VD,,FSSTA,a,,,,,,
spa:DatenbankUrsAmateurtheater,STS-DatenbankUrsAmateurtheater00000672,Troupe Aux Chandeliers,Ependes,Ependes (nicht ZSV),VD,,FSSTA,a,,,,,,
spa:DatenbankUrsAmateurtheater,STS-DatenbankUrsAmateurtheater00000673,Théâtre de la Dernière Minute,Epesses,Epesses (nicht ZSV),VD,,FSSTA,a,,,,,,
spa:DatenbankUrsAmateurtheater,STS-DatenbankUrsAmateurtheater00000674,Jodlerchörli Eriswil,Eriswil,Eriswil,BE,,-0,a,,,,,,
spa:DatenbankUrsAmateurtheater,STS-DatenbankUrsAmateurtheater00000675,Hoftheater Erlach,Erlach,Erlach,BE,,Amathea,a,,,,,,
spa:DatenbankUrsAmateurtheater,STS-DatenbankUrsAmateurtheater00000676,Gemischter Chor Erlenbach,Erlenbach BE,Erlenbach BE,BE,,Amathea,a,,,,,,
spa:DatenbankUrsAmateurtheater,STS-DatenbankUrsAmateurtheater00000677,Jodlerklub Edelweiss,Erlenbach BE,Erlenbach BE,BE,,Amathea,a,,,,,,
spa:DatenbankUrsAmateurtheater,STS-DatenbankUrsAmateurtheater00000678,Theatergruppe Frauen-/Männerchor Erlenbach (Theatergruppe Männer- und Frauenchor),Erlenbach BE,Erlenbach BE,BE,,Amathea,a,,,,,,
spa:DatenbankUrsAmateurtheater,STS-DatenbankUrsAmateurtheater00000679,Trachtengruppe Erlenbach,Erlenbach BE,Erlenbach BE,BE,,Amathea,a,,,,,,
spa:DatenbankUrsAmateurtheater,STS-DatenbankUrsAmateurtheater00000680,Erlibacher Volksbühne Erlenbach,Erlenbach ZH,Erlenbach ZH,ZH,,RVA,a,,,,,,
spa:DatenbankUrsAmateurtheater,STS-DatenbankUrsAmateurtheater00000681,EVB Junioren Erlenbach,Erlenbach ZH,Erlenbach ZH,ZH,,RVA,a,,,,,,
spa:DatenbankUrsAmateurtheater,STS-DatenbankUrsAmateurtheater00000682,Männerchor Ersigen,Ersigen,Ersigen,BE,,Amathea,a,,,,,,
spa:DatenbankUrsAmateurtheater,STS-DatenbankUrsAmateurtheater00000683,Trachtengruppe Erstfeld,Erstfeld,Erstfeld,UR,,RZV,a,,,,,,
spa:DatenbankUrsAmateurtheater,STS-DatenbankUrsAmateurtheater00000684,Theater Karussell (Verein Theater Karussell),Eschen (FL),Eschen (FL),FL,,-0,a,,,,,,
spa:DatenbankUrsAmateurtheater,STS-DatenbankUrsAmateurtheater00000685,Seetaler TamTam,Eschenbach,Eschenbach,LU,,RZV,a,,,,,,
spa:DatenbankUrsAmateurtheater,STS-DatenbankUrsAmateurtheater00000686,Theatergesellschaft Eschenbach (Theater Eschenbach),Eschenbach,Eschenbach,LU,,RZV,a,,,,,,
spa:DatenbankUrsAmateurtheater,STS-DatenbankUrsAmateurtheater00000687,Freilichtspiel Escholzmatt,Escholzmatt,Escholzmatt,LU,,,a,(noch existent?),,,,,
spa:DatenbankUrsAmateurtheater,STS-DatenbankUrsAmateurtheater00000688,Jodlerchörli Lehn,Escholzmatt,Escholzmatt,LU,,,a,,,,,,
spa:DatenbankUrsAmateurtheater,STS-DatenbankUrsAmateurtheater00000689,Landschaftstheater Escholzmatt,Escholzmatt,Escholzmatt,LU,,,,(noch existent?),,,,,
spa:DatenbankUrsAmateurtheater,STS-DatenbankUrsAmateurtheater00000690,Heimatschutztheater Escholzmatt (später Theater Escholzmatt),Escholzmatt,Escholzmatt,LU,,RZV,na,,,,,,
