owl:Class,dct:identifier,schema:name,schema:performer,schema:addressLocality,ex:AblageortSTS,schema:addressRegion,schema:relatedLink,schema:Organization,ex:rep,ex:statusaaktivnanichtaktiv,ex:EckdatennichtSTS,ex:frühereNamen,ex:Dokumente1,ex:Dokumente2,ex:Dokumente3,ex:Dokumente4
spa:DatenbankUrsTruppenProfi,STS-DatenbankUrsTruppenProfi00000131,Das Schiefe Theater,"Thommy, Dominique + leVice, Albert + Thommy-Kneschaurek, Monica",Basel,Basel,BS,,,,na,1968-1975,,,,1 C,1968-1975
spa:DatenbankUrsTruppenProfi,STS-DatenbankUrsTruppenProfi00000132,Die Impronauten,-0,Basel,Basel,BS,,,,a,,,,,1 C,2005-
spa:DatenbankUrsTruppenProfi,STS-DatenbankUrsTruppenProfi00000133,Die Klippe,?,Basel,Basel,BS,,,,na,,,,,,
spa:DatenbankUrsTruppenProfi,STS-DatenbankUrsTruppenProfi00000134,Die Schwelle (Theaterstudio),"Schmied, Jürg",Basel,Basel,BS,,,,na,1996-1998,,,,1 C,1996-1998
spa:DatenbankUrsTruppenProfi,STS-DatenbankUrsTruppenProfi00000135,Die Spieldose (Variété),"Schoenauer, David",Basel?,Variété: Basel,BS,,,,na,?,,,,,(1987)-(1990)
spa:DatenbankUrsTruppenProfi,STS-DatenbankUrsTruppenProfi00000136,Die Wiederkäuer,"Berger, Wolfram + Jäggi, Ueli + Kienberger, Jürg",Basel,Kabarett: Basel,BS,,,,na,?,,,,,"(1994)-(1997), (2014)"
spa:DatenbankUrsTruppenProfi,STS-DatenbankUrsTruppenProfi00000137,Duo Bachmann & Bardelli (Bachmann&Bardelli),"Bachmann, Raphael + Bardelli, Patrick",Basel,"Bachmann, Raphael",BS,,,,a,,,,,,
spa:DatenbankUrsTruppenProfi,STS-DatenbankUrsTruppenProfi00000138,Duo Stimmhorn,"Streiff, Balthasar + Zehnder, Christian",Basel,Basel,BS,,,,na,1997-?,,,,1 C,1997-(2008)
spa:DatenbankUrsTruppenProfi,STS-DatenbankUrsTruppenProfi00000139,Duo Don Chaote (DonChaote),"Allmandinger, Patrick + Salvi, Renato",Basel,Kabarett: Basel,BS,,,,na,,,,,,(1993)-(1994)
spa:DatenbankUrsTruppenProfi,STS-DatenbankUrsTruppenProfi00000140,éclat - Choreografisches Theater Basel,"Weder, Iris + Minella, Philippe + Barraud, Vincent + Clairet, Laurent",Basel,Basel,BS,,,,a,,,,,1 C,1998
spa:DatenbankUrsTruppenProfi,STS-DatenbankUrsTruppenProfi00000141,EdV Ende der Vorstellung (Kollektiv),"Andereggen, Ariane u.a.",Basel,"auch unter Bern, bereinigen",BS,,,,a,,,,,,
