owl:Class,dct:identifier,schema:name,schema:addressLocality,ex:AblageortSTS,schema:addressRegion,schema:relatedLink,ex:statusaaktivnanichtaktiv,schema:Organization,ex:EckdatennichtSTS,ex:frühereNamen,ex:Dokumente1,ex:Dokumente2,ex:Dokumente3,ex:Dokumente4
spa:DatenbankUrsVerbaende,STS-DatenbankUrsVerbaende00000064,amathea ,"wechselnde Orte <Regionalverband Kt. BE, dtspr. FR und VS)",,unbest.,,,,,BVGT (Bernische Gesellschaft für das Volkstheater),,,,
spa:DatenbankUrsVerbaende,STS-DatenbankUrsVerbaende00000065,FSSTA (Fédération suisse des sociétés théâtrales damateurs),wechselnde Orte?,,unbest.,,,,,,,,,
spa:DatenbankUrsVerbaende,STS-DatenbankUrsVerbaende00000066,RVNWS (Schweizer Volkstheater Regionalverband Nordwestschweiz),"wechselnde Orte <Regionalverband Kt. BL, BS, SO)",,unbest.,,,,,,,,,
spa:DatenbankUrsVerbaende,STS-DatenbankUrsVerbaende00000067,GSD (Gesellschaft Schweizerischer Dramatiker),???,,unbest.,,,,1924-1985,,,,,
spa:DatenbankUrsVerbaende,STS-DatenbankUrsVerbaende00000068,SDT (Schweizerischer Dachvervand der Fachkräfte des künstlerischen Tanzes) (Association faîtière suisse des professionnels de la danse)(später: Danse Suisse),???,,unbest.,,,,1974-2004,,,,,
spa:DatenbankUrsVerbaende,STS-DatenbankUrsVerbaende00000069,"SSV Schweizerischer Schriftstellerinnen- und Schriftsteller-Verband, SSE Société Suisse des écrivaines et des écrivains, SSS Società svizzera delle scrittrici e degli scrittori",Zürich,Zürich,ZH,,,,na,,,,,
spa:DatenbankUrsVerbaende,STS-DatenbankUrsVerbaende00000070,tps Fachverband Theaterpädagogik Schweiz (ab 2014 integriert in ACT),???,,unbest.,,,,,,,,,
spa:DatenbankUrsVerbaende,STS-DatenbankUrsVerbaende00000071,VOV (Verband Ostschweizer Volkstheater),"wechselnde Orte? <Regionalverband Kt. AI, AR, SG, TG, SH, LI)",,unbest.,,,,,,,,,
spa:DatenbankUrsVerbaende,STS-DatenbankUrsVerbaende00000072,ZSV (Zentralverband Schweizer Volkstheater),wechselnde Orte?,,unbest.,,,,,,,,,
,,,,,,,,,,,,,,
,,European Theatre Convention (ETC),Paris,Paris,Frankreich,,,,,,,,,
,,"International Theatre Institute ITI, Internationales Theaterinstitut",Paris,Paris,Frankreich,,,,,,,,,
,,,,,,,,,,,,,,
,,Inthega (Interessengemeinschaft der Städte mit Theatergaspielen),Ludwigsburg,,Deutschland,,,,,,,,,
,,Inthega (Interessengemeinschaft der Städte mit Theatergaspielen): Landesgruppe Schweiz,Olten,,Schweiz,,,,,,,,,
