owl:Class,dct:identifier,schema:name,ex:Art,ex:TheaterKlassifikation,schema:addressLocality,ex:AblageortSTS,schema:addressRegion,schema:relatedLink,schema:Organization,ex:Statusaaktivnanichtaktiv,ex:Rep,ex:EckdatennichtSTS,ex:frühereNamen,ex:Dokumente1,ex:Dokumente2,ex:Dokumente3,ex:Dokumente4,
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000165,Kulturfabrik Quelle Wabern,-0,x,Bern,Bern,BE,,x,na,,?,,,,1 C,1992,
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000166,Kunsthalle Bern,-0,x,Bern,Bern,BE,,x,a,,1918-,,,,1 C,(1984)-,
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000167,Kunstmuseum Bern,-0,x,Bern,Bern,BE,,x,a,,1879-,,,,1 C,(1979)-,
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000168,Kursaal Bern,G (kein aktiver Veranstalter),???,Bern,Bern,BE,,x,na,,,,,,1 C,"1933, 1939, 1940, 1944-1948, 1950, 1953, 1956-1959, 1962, 1966, 1972-",
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000169,La Cappella,G,VOK,Bern,Bern,BE,,KTV,a,,1998-,,,,1 C,(2000)-,
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000170,Länggass-Treff,-0,x,Bern,Bern,BE,,x,a,,?,,,,1 C,"1986, 1988",
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000171,Marianus-Raum (inkl. Marianus Eurythmie-Ensemble),-0,x,Bern,Bern,BE,,x,na,,?,,,,1 C,"1996, 2000-",
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000172,"Münster, Münster-Plattform (Münsterplatz) (inkl. Münsterkirchgemeinde)",-0,x,"Bern (""Der Glöckner"", 1999 und ""Les Misérables"", 2011 sieh unter Bern: Berner Freilicht-Theater, ZSV)",Bern,BE,,x,a,,?,,,,1 C,"1933, 1983-",
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000173,Musical-Theater Wankdorf City,-0,x,Bern,Bern,BE,,x,a,,?,,,,1 C ,"2010, 2012",
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000174,National Bern (Theater im National) (früher: Theater am Hirschengraben),G (kein aktiver Veranstalter),???,Bern,Bern,BE,,x,a,,,,,,1 C,(1983)-,
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000175,"Nydegghöfli (Festspiel ""Johannisfeuer)",einmalig,x,Bern,Bern,BE,,x,na,,1942,,,,1 C,1942,
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000176,ONO,G,RKT,Bern,Bern,BE,,x,a,,2003-,kleintheater kramgasse 6,,,1 C,2003-,
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000177,Petit-Théâtre Français Berne <Spielstätte: Schulwarte>,-0,x,Bern,Bern,BE,,x,na,,?,,,,1 C,1951,
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000178,Pflegestätte für musische Künste im Sinne Rudolf Steiner,-0,x,Bern,Bern,BE,,x,na,,?,,,,1 C,"(1954)-(1956), 1986",
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000179,Progr,G,"RKZ, TFS",Bern,Bern,BE,,x,a,,2005-,,,,1 C,2005-,
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000180,"Reitschule Bern (Grosse Halle, Tojo)",G,"RKZ, TFS",Bern,"Bern (siehe auch Bern: Club 111, Bern: 99hundert, Bern Pantarhei)",BE,,x,a,,"1986, 1987",,,,1 C,"1986, 1989-",
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000181,Rosengarten (Tanz-Theater Rena Brandenberger),-0,x,Bern,Bern,BE,,x,na,,?,,,,1 C,2009-,
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000182,Schänzli Sommertheater,-0,x,Bern,Bern,BE,,x,na,,?,,,,1 C,"1883, 1889, 1946",
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000183,Schlachthaus Theater Bern,P G,TFS,Bern,Bern <1982-1983 siehe auch unter: Bern: Stadttheater>,BE,,"assitej, KTV       Premio",a,r,1981-,,,,3 S,1981-,
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000184,Schmiedstube (Restaurant),-0,x,Bern,Bern,BE,,x,na,,?,,,,1 C,"1987, 1988, 1990",
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000185,Schulwarte,-0,x,Bern,Bern,BE,,x,na,,?,,,,1 C,"1944, 1945, 1964, 1974, 1975, 1984",
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000186,Schweizerbund (Restaurant),-0,x,Bern,Bern,BE,,x,na,,?,,,,1 C,"1949, 1955, 1971, 1973, 1975, 1984, 1990",
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000187,Shalimar-Kaffeetheater,-0,x,Bern,Bern,BE,,x,na,,?,,,,1 C,"1967, 1972-1975",
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000188,Splendid (Kino),-0,x,Bern,Bern,BE,,x,na,,?,,,,1 C,(1988)-(1994),
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000189,Studio 20 (Zimmertheater),-0,x,Bern,Bern,BE,,x,na,,?,,,,1 C,(1958)-1960,
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000190,Studio 21,-0,x,Bern,Bern,BE,,x,na,,?,,,,1 C,(1960)-?,
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000191,Studio HC (Studio für Musik und Tanz Heiner Carling),-0,x,Bern,Bern,BE,,x,na,,1979-?,,,,1 C,1979-(1985),
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000192,Theater 1230,P G,x,Bern (siehe auch Bern: 1230 Keller),Bern,BE,,x,na,r,1978-1999,,,,1 S,1978-(2000),
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000193,Theater am Hirschengraben (Theater im National) (später: Theater im National),G,x,Bern,Bern,BE,,x,na,,?,,,,1 C,"1954-1959, 1962, 1965, 1974, 1975, 1977",
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000194,Theater am Käfigturm,G,VOK,Bern,Bern,BE,,x,a,,1967-,,,,2 S,(1966)-,
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000195,Theater an der Effingerstrasse,P,KTE,Bern,Bern <bis 31.7.1995 Bern: Atelier-Theater>,BE,,SBV,a,r,1996-,Atelier-Theater,,,4 S,1996-,
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000196,Theater der Untern Stadt (später: Zytglogge-Theater),G,RKT,Bern,Bern,BE,,x,na,,1949-1961,,,,2 C,(1948-1957),
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000197,Theater Matte,G PAMATH,"ATV, RKT",Bern,Bern <Eigenproduktionen  ZSV>,BE,,x,a,,,,,,,,
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000198,"Theater Remise (Produktionen der Studio Bühne Bern, Verein)",P G,"ATV, RKT",Bern,Bern,BE,,x,a,,?,,,,1 C,(1986)-,
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000199,Theater Vis-a-Vis (später: Kunst- und Kulturhaus visavis) <ehemals Übernahme der Spielstätte durch Berner Puppentheater>,P G PUTH,STP,Bern,Bern,BE,,x,a,,,,,,1 C,"1987-(2008), 2015-",
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000200,Théâtre Arlequin,-0,x,Bern,Bern,BE,,x,na,,?,,,,1 C,(1958)-(1961),
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000201,Theatro Antilopa,-0,x,Bern,Bern,BE,,x,na,,?,,,,1 C,1986,
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000202,Tojo Theater (Dojo),P G,TFS,Bern,"Bern: Reitschule Bern <wenn Grosse Halle, spez. Bezeichnung>",BE,,Premio,a,,,,,,,,
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000203,Troubadours Musig-Bistrot,-0,x,Bern,Bern,BE,,x,na,,?,,,,1 C,(1992)-(1995),
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000204,Waldau (Universitäre Psychiatrische Dienste UPD),-0,x,Bern,Bern,BE,,x,a,,?,,,,1 C,"1996, 2000, 2001",
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000205,Z5 Berner Kultur- und Begegnungszentrum,-0,x,Bern,Bern,BE,,x,na,,?,,,,1 C,-1992,
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000206,Zähringer-Refugium,P G,x,Bern (Revivals ab 2003 siehe unter Bern: Div. A-Z),Bern,BE,,x,na,r,1970-1995,,,,2 S,1969-1995,
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000207,Zentrum Paul Klee (ZPK),G,RKZ,Bern,Bern,BE,,x,a,,2005-,,,,1 C,2005-,
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000208,Zytglogge-Theater (früher: Theater der Untern Stadt) <Spielstätte: chäller-kumedi>,G,"ATV, RKT",Bern,Bern: Theater am Zytglogge,BE,,x,a,,1962-,"Theater der Untern Stadt, Theater am Zytglogge",,,1 C,1962-,
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000209,Stiftstheater Beromünster,G,RKT,Beromünster,Beromünster,LU,,x,a,,,,,,,,
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000210,Kulturfabrikbigla,G,"RKZ, VOK",Biglen,Bern: Berner TheaterCompanie <ZSV>,BE,,KTV,a,,,,,,,,
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000211,Atelier 21,E/G,VOK,Biel/Bienne,Biel/Bienne,BE,,x,a,,,,,,,,
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000212,Le Carré Noir,P G,"KTE, RKT, STP",Biel/Bienne,Biel/Bienne,BE,,KTV,a,,,,,,,,
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000213,Musiktheater der Orchestergesellschaft Biel (Musiktheater OGB) (später: Theater Biel Solothurn),E,x,Biel/Bienne,Biel/Bienne,BE,,x,na,r,1971-1996,,,,,,
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000214,Palais des Congrès,G (kein aktiver Veranstalter),GGH spez,Biel/Bienne,Biel/Bienne: Kongresshaus,BE,,x,a,,,,,,,,
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000215,"Rennweg 26 (Espace culturel Rennweg 26, Genossenschaft Rennweg 26)",G,TFS,Biel,"Biel, Espace Culturel ...",BE,,x,a,,,,,,,,
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000216,Städtebundtheater Biel-Solothurn (später: Theater Orchester Biel Solothurn),E,x,Biel,Biel,BE,,x,na,r,1927-2013,,,,,,
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000217,Theater für die Chlyne/Théâtre pour les petits,G PUTH,STP,Biel/Bienne,Biel/Bienne,BE,,Unima,a,,,,,,,,
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000218,Théâtre de Poche,G,RKT,Biel,Biel,BE,,x,a,,,,,,,,
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000219,Théâtre Palace Bienne (Spectacles français)(SF),P G,GGH,Bienne,"Bienne, Spectacles français bzw. jeweiliger Veranstalter)",BE,,Corodis  KTV,a,,,,,,,,
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000220,"Theater Orchester Biel Solothurn (TOBS)(Spielstätten: Stadttheater Biel, Kongesshaus Biel, Stadttheater Solothurn) (inkl. Träger: Stiftung Theater und Orchester Biel-Solothurn TOBS) (inkl. Junges Theater Biel, JTB, Junges Theater Solothurn JTS) (inkl. Theaterchor Biel)",E,GST,Biel Solothurn,Biel Solothurn: TOBS,BE,,SBV,a,r,,"Theater Biel Solothurn, Städtebundtheater Biel-Solothurn, Ensemble Theater der Regionen Biel-Solothurn",,,,,
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000221,"Alfa Theater, Comedy Club Alfa (Hotel Alfa Birsfelden)",G,Gourmet-Theater,Birsfelden,Basel,BL,,x,a,,,,,,,,
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000222,Theater Roxy,G,TFS,Birsfelden,Basel,BL,,Premio,a,,,Kulturraum Roxy,,,,,
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000223,Reberhaus Bolligen (Freizeit- und Kulturzentrum Reberhaus),G,RKT,Bolligen,Bolligen,BE,,(KTV),a,,,,,,,,
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000224,Burggartenkeller,G,RKT,Bottmingen,Bottmingen,BL,,KTV,a,,,,,,,,
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000225,Künstlerhaus Boswil <heute nur noch Spielstätte für Musik>,G,???,Boswil,Boswil,AG,,x,a,,,,,,,,
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000226,Theateratelier Boswil <Spielstätte?>,,x,Boswil,Boswil,AG,,x,na,,,,,,,,
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000227,Espace culturel La Passade,G PAMTH,"ATV, RKT",Boudry,Boudry,NE,,x,a,,,,,,,,
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000228,Kellertheater Bremgarten,G PAMTH,"ATV, RKT",Bremgarten,Bremgarten,AG,,KTV,a,,,,,,,,
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000229,Theater am Spittel,,x,Bremgarten,Bremgarten,AG,,x,na,,,,,,,,
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000230,Keller Theater Brig (Kellertheater Brig),G,RKT,Brig,Brig,VS,,KTV,a,,,Oberwalliser Kellertheater,,,,,
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000231,Zeughaus Kultur,G,RKT,Brig-Glis,Brig,VS,,x,a,,,,,,,,
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000232,Kellertheater Brugg,?,x,Brugg,Brugg,AG,,x,na,,,,,,,,
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000233,Odeon Brugg,G,RKT,Brugg,Brugg,AG,,KTV,a,,,,,,,,
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000234,Salzhaus,G,RKT,Brugg,Brugg,AG,,,a,,,,,,,,
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000235,fabriggli werdenberger kleintheater,G,RKT,Buchs,Buchs,SG,,KTV,a,,,,,,,,
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000236,Forum Schwerzgrueb,G,???,Bülach,Bülach,ZH,,x,a,,,(noch existent?),,,,,
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000237,Kulturzentrum Sigristenkeller (Kellertheater),G,RKT,Bülach,Bülach,ZH,,KTV,a,,,,,,,,
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000238,"CO2 (CO2, salle de spectacle de la Gruyère)(Salle CO2)",G,"GGH, RKZ",Bulle,La Tour-de-Trême,FR,,Corodis,a,,,,,,,,
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000239,"Kellertheater Lindenhof, Kellertheater im Lindenhof",G,RKT,Büren an der Aare,Büren an der Aare,BE,,KTV,a,,,Kleintheater Büren,,,,,
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000240,Casino Theater Burgdorf,G,"GGH, VOK ",Burgdorf,Burgdorf,BE,,"Inthega, KTV",a,,,,,,,,
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000241,Stadthauskeller Burgdorf,G,x,Burgdorf,Burgdorf,BE,,-0,a,,,,,,,,
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000242,Theater am Scharfenegge,,x,Burgdorf,Burgdorf,BE,,x,na,,,,,,,,
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000243,Theater Z,G,x,Burgdorf,Burgdorf,BE,,x,a,,,,,,,,
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000244,Castello di Trevano,G,x,Canobbio,?,TI,,x,na,,1870-1961,,,,,,
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000245,Café-Théâtre de la Tonnelle,G,x,Carouge,Carouge,GE,,x,na,,,,,,,,
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000246,Lorzensaal Cham,G,"RKZ, u.a.",Cham,Cham,ZG,,KTV,a,,,,,,,,
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000247,Théâtre OZ <Spielstätte von Compagnie NEO),P G,"RKT, TFS",Charrat,Charrat,VS,,x,a,,,,,,,,
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000248,Cinema Teatro di Chiasso,G,GGH,Chiasso,Chiasso,TI,,x,a,,1935-,Cinema-Teatro Excelsior,,,,,
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000249,Spazio Officina,G,RKT,Chiasso,Chiasso,TI,,,a,,1974-,Klibühni Schnidrzumpft,,,,,
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000250,"Klibühni, das Theater",P,RKT,Chur,Chur,GR,,KTV    ,a,,,,,,,,
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000251,Postremise (inkl. Spielraum 7000),P G,RKT,Chur,Chur,GR,,x,a,,,,,,,,
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000252,Rätisches Theater (rtr) (Projekt 1983),?,?,Chur (vorgesehener Sitz),Chur,GR,,x,na,,,,,,,,
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000253,Theater Chur (inkl. Träger: Stiftung Theater Chur) (inkl. Junges Theater Chur),P G,"GGH, TFS",Chur,Chur,GR,,"SBV, assitej     Premio",a,,,"Churer Stadttheater, Stadttheater Chur",,,,,
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000254,Théâtre de Colombier,G,RKT,Colombier,Colombier,NE,,x,a,,,,,,,,
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000255,Théâtre de Terre-Sainte,G,RKT,Coppet,Coppet,VD,,x,a,,,,,,,,
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000256,La Tuffière,G,RKT,Corpataux,Corpataux,FR,,x,a,,,,,,,,
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000257,Le Théâtre de la Ruelle,G,RKT,Cossonay (Chaux),Cossonay,VD,,x,a,,,,,,,,
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000258,Théâtre du pré-aux-moines (pam cossonay) (Théâtre PAM),G,RKT,Cossonay,Cossonay,VD,,Corodis  KTv,a,,,,,,,,
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000259,Le Toit des Saltimbanques,G,RKT,Courtelary,Courtelary,BE,,KTV,a,,,,,,,,
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000260,Laaf Théâtre,G,RKT,Courtételle,Courtételle,JU,,x,a,,,,,,,,
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000261,Montana Saal,G,RKT,Davos,Davos,GR,,(KTV),a,,,,,,,,
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000262,SAMD Aula,G,RKT,Davos,Davos,GR,,(KTV),a,,,,,,,,
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000263,Centre Culturel Régional de Delémont (CCRD),G,RKZ,Delémont,Delémont,JU,,KTV,a,,,,,,,,
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000264,CREA (Théâtre du Jura) (Projekt),G,RKZ,Delémont,Delémont,JU,,-0,noch na,,,,,,,,
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000265,SAS,G,RKT,Delémont,Delémont,JU,,-0,a,,,,,,,,
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000266,Teatro Dalla Piazza,P G,RKT,Dielsdorf,Dielsdorf,ZH,,x,a,,,,,,,,
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000267,Stadtkeller,G,RKT,Dietikon,Dietikon,ZH,,(KTV),a,,,,,,,,
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000268,Das Neue Theater am Bahnhof (NtaB) (ab 2015/16: neuestheater.ch) (Neues Theater Dornach),P G,"KTE, RKT",Dornach (z.Z. in Arlesheim),Dornach,SO,,x,a,r,,,,,,,
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000269,Goetheanum-Bühne,P G,RKT,Dornach,Dornach,SO,,x,a,,,,,,,,
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000270,Puppentheater Felicia am Goetheanum (Kleine Märchenbühne Felicia),P PUTH,STP,Dornach,Dornach,SO,,x,a,,,,,,,,
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000271,Obere Mühle (Kultur in Dübendorf),G,RKT,Dübendorf,Dübendorf,ZH,,KTV,a,,,,,,,,
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000272,Kultur im Podium (KiP),G,GGH,Düdingen,Düdingen,FR,,Inthega,a,,,,,,,,
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000273,Die Fabrik,G,KTE spez,Ebnat-Kappel,Ebnat-Kappel,SG,,x,a,,,,,,,,
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000274,Dömli,G,VOK,Ebnat-Kappel,Ebnat-Kappel,SG,,x,a,,2014,,,,,,
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000275,La Salle des 3 Jars,G,RKT,Echichens,Echichens,VD,,x,a,,,,,,,,
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000276,Bühne zur Heimat (Wirtshaus zur Heimat),G,VOK,Ehrendingen,Ehrendingen,AG,,x,a,,,,,,,,
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000277,Chärnehus,G PAMATH,"ATV, RKT",Einsiedeln,Einsiedeln,SZ,,x,a,,,,,,,,
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000278,Teatro di Capua (TDC),G,RKT,Embrach,Embrach,ZH,,x,a,,,,,,,,
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000279,Alte Turnhalle (Schwenditurnhalle) (Kultur in Engelburg KiE),G,VOK,Engelburg,Engelburg,SG,,KTV,a,,,,,,,,
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000280,Theater am Kreuzplatz (TAK),G,???,Erschwil,Erschwil,BL,,x,a,,,,,,,,
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000281,L'Azimut (inkl. L'Association Culturazimut),G,RKZ,Estavayer-le-Lac,Estavayer-le-Lac,FR,,x,a,,,,,,,,
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000282,Salle de Prillaz,G,RKT,Estavayer-le-Lac,Estavayer-le-Lac,FR,,x,a,,,,,,,,
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000283,Théâtre du Dé <Spielstätte von Compagnie du Théâtre du Dé>,P G,"ATV, RKT, TFS",Evionnaz,Evionnaz,VS,,KTV,a,,,,,,,,
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000284,Kulturschopf,G,RKT,Feldbach,Feldbach,ZH,,KTV,a,,,,,,,,
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000285,Théâtre de l'Arlequin,?,?,Fétigny,Fétigny,FR,,-0,na,,,,,,,,
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000286,Theater Alti Fabrik Flaach (TAFF),G,VOK,Flaach,Flaach,ZH,,KTV,a,,,,,,,,
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000287,Kleintheater Trillevip,P,"ATV, KTE",Flums,Flums,SG,,x,a,,,,,,,,
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000288,Schlosskeller Fraubrunnen (inkl. Theatergruppe vom Schlosskeller Fraubrunnen),P G,"ATV, RKT",Fraubrunnen,Fraubrunnen: Theater im Schloss Fraubrunnen,BE,,KTV,a,,,,,,,,
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000289,Casino Frauenfeld (Stadtcasino Frauenfeld) (Spielstätte von: Theaterverein Frauenfeld),G,GGH,Frauenfeld,Frauendfeld,TG,,Inthega,a,,,,,,,,
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000290,VorStadttheater im Eisenwerk (neuer Name: Kultur im Eisenwerk),G,"ATV, RKT",Frauenfeld,Frauenfeld <Eigenproduktionen Junges Theater Frauenfeld>,TG,,KTV,a,,,,,,,,
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000291,"kellerpoche (Kellertheater, Théâtre de Poche, inkl. Samaritaine 3) (früher: Theater am Stalden) ",G  PAMATH,"ATV, RKT",Freiburg/Fribourg,Freiburg/Fribourg: Théâtre de Poche <Eigenproduktionen  ZSV>,FR,,KTV,a,,,,,,,,
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000292,Theater am Stalden (später: Théâtre de Poche),,,Freiburg/Fribourg,Freiburg/Fribourg: Theater am Stalden,FR,,,na,,,,,,,,
