owl:Class,dct:identifier,schema:name,ex:Art,ex:TheaterKlassifikation,schema:addressLocality,ex:AblageortSTS,schema:addressRegion,schema:relatedLink,schema:Organization,ex:Statusaaktivnanichtaktiv,ex:Rep,ex:EckdatennichtSTS,ex:frühereNamen,ex:Dokumente1,ex:Dokumente2,ex:Dokumente3,ex:Dokumente4,
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000086,Peterskirche Basel,?,x,Basel,Basel,BS,,x,a,,,,,,1 C,2003 / 2006,
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000087,"Piccolo, Piccolissimo, Pochettli (Theater Piccolo)",P,RKT,Basel,Basel: Theater Piccolo,BS,,x,na,,?-1993,,,,1 C,1975-1993,
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000088,Podium-Theater Basel (Zimmertheater),?,x,Basel,"Basel: Podium, Zimmertheater",BS,,x,na,,,,,,1 C,1951-1958,
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000089,Querfeldhalle,?,x,Basel,Basel,BS,,x,a,,,,,,1 C,2013,
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000090,Raum 33 (Raum33),G,x,Basel,Basel,BS,,x,na,,1999-2011,,,,1 C,1999-(2008),
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000091,SCALA (Scala-Theater),G,RKZ,Basel,Basel,BS,,x,a,,2000-,,,,1 C,2000-,
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000092,Schlotterbeck (Werkraum),G,x,Basel,Basel,BS,,x,a,,1990-,,,,1 C,1990-(2012),
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000093,Schützenhaus Basel,G,x,Basel,Basel,BS,,x,na,,1989,,,,1 C,1989,
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000094,Spalenhof (Kaisersaal),?,x,Basel,Basel,BS,,x,na,,,,,,1 C,1990,
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000095,Sporthalle St. Jakob (St. Jakobpark),G,x,Basel,Basel,BS,,x,a,,,,,,2 C,1975-(2011),
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000096,St. Albansaal,?,x,Basel,Basel,BS,,x,na,,?,,,,1 C,1949,
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000097,"St. Johann (Bahnhof, Zollhalle)",?,x,Basel,Basel,BS,,x,na,,?,,,,1 C,2006 / 2010,
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000098,St. Margerethen,?,x,Basel,Basel,BS,,x,na,,?,,,,1 C,2004 / 2005,
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000099,"Stadtcasino (Casino, Sommercasino, Casino-Theater, Basler Revue)",G,Grosse Konzert Säle,Basel,Basel,BS,,x,a,,?,,,,1 C,1948-1960 / 1971-1977 / 1982-,
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000100,Stadt-Theater Basel (später: Theater Basel),E,x,Basel,Basel,BS,,x,na,r,1834-1968,Stadttheater am Steinenberg,,,19 S,1934-1968,
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000101,Stückfärberei Basel,?,x,Basel,Basel,BS,,x,na,,1988-?,,,,1 C,1988-(1993),
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000102,Theater Arlecchino,E,STK,Basel,Basel,BS,,"assitej, KTV",a,,1997-,,,,1 C,1998-,
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000103,Theater am Aeschengraben,?,x,Basel,Basel,BS,,x,na,,1970-?,,,,1 C,1970,
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000104,"Theater Basel (Spielstätten: Grosse Bühne, Kleine Bühne, Schauspielhaus, Foyers) (inkl. Ballett Basel, Junges Schauspiel Basel, Junge Oper Basel, Oper Avenir)(inkl. Träger: Theatergenossenschaft Basel)  ",E,GST,Basel,Basel <Oper Avenir eigene Ablage unter: Basel: OperAvenir> <ab 1.8.1984 eigene Ablage Grundsätzliches> <ab 1983/84 eigene Ablage Kleine Bühne > <ab 2001/2002 eigene Ablage Schauspielhaus>,BS,,SBV,a,r,1968-,"Stadt-Theater Basel, Komödie Basel",,,69 S,1968-,
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000105,OperAvenir / Opernstudio,E,GST,Basel: Opernstudio,Basel,BS,,SBV,a,r,,,,,1 C,2012,
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000106,"Theater Fauteuil (inkl. Fauteuil-Märchenbühne) <Spielstätten: Fauteuil, Kaisersaal, Tabourettli><Tabourettli siehe separat: Theater Fauteuil/ Tabourettli>",E P G,"KTE, VOK",Basel,Basel: Fauteuil,BS,,x,a,,1957-,,,,3 S,1957-,
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000107,Theater im Teufelhof,G,VOK,Basel,Basel,BS,,KTV,a,,,Theater / Café zum Teufel,,,3 C,1976-,
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000108,Theater Tabourettli ,G,VOK,Basel,Basel: Theater Fauteuil,BS,,x,a,,,,,,,,
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000109,Theater vis-à-vis,P,RKT,Basel,Basel: Vis-à-vis,BS,,x,na,,1973-1990,,,,1 C,"1973-1975, 1983-1991",
spa:DatenbankUrsFesteHaeuser,STS-DatenbankUrsFesteHaeuser00000110,Theater-Café zum Teufel (später: Theater im Teufelhof),,x,Basel,Basel,BS,,x,na,,,,,,,,
