owl:Class,dct:identifier,spa:accessionNumber,ex:SignaturAlt_CabaretArchiv,schema:name,schema:genre,schema:author,eclap:director,schema:performer,schema:productionCompany,ex:Jahr,ex:Referenz,schema:duration,schema:comment,ex:Anzahl,ex:Lieferant,ex:Schlagwort,ex:Art
spa:Audio,STS-Audio00001068,CDD 046,,"La Traviata. Orchestra & Chorus of the Royal Opera House, Covent Garden",Op,"Verdi, Giuseppe",Georg Solti,"Angela Gheorghiu, Frank Lopardo, Leo Nucci, Leah-Mrian Jones, Orchestra and Chorus of the Royal Opera House, Covent Garden, London","GB: London: Royal Opera House, Covent Garden",1995,,2:07:21,,2,,,
spa:Audio,STS-Audio00001069,CDD 047,,Faust. Oper,Op,"Gounod, Charles",ML: Richard Bonynge,"Joan Sutherland, Franco Corelli, Nicolai Ghiaurov",GB: London: London Symphony Orchestra,1966,,3:10:17,,3,,,
spa:Audio,STS-Audio00001070,CDD 048,,Les Huguenots. Oper,Op,Meyerbeer,ML : Richard Bonynge,"Joan Sutherland, Martina Arroyo, Huguette Tourangeau, Anastasios Vrenios, Nicola Ghiuselev, Gabriel Bacquier; New Philharmonia Orchestra",,1970,,3:37:12,,4,,,
spa:Audio,STS-Audio00001071,CDD 049,,"Der Postillon von Lonjumeau. Komische Oper in 3 Akten. Text, Libretto: Adolphe de Leuven & Léon Brunswick",Op,"Adam, Adolphe Charles ",ML: Klaus Arp,"Robert Swensen, Pamela Coburn, Peter Lika, Florian Prey; Rundfunkorchester des SWF Kaiserslautern",D: Kaiserslautern: SWF,1994,,1:32:55,,2,,,
spa:Audio,STS-Audio00001072,CDD 050,,"Angelika Kauffmann, ""Eine Dichterin mit dem Pinsel"", Ein Lebensbild aus ihren Briefen und Berichten berühmter Zeitgenossen. Musik: Salve Regina c-moll von G. B. Pergolesi","H, V","Kauffmann, Angelika; Pergolesi, Giovanni Battista",Idee und Textfassung: Gisela & Gert Westphal; Produktion: Günter Adam Strössner; Tonmeister: Eberhard Schnellen,"Gisela Westphal, Gert Westphal, Emma Kirkby",,2001,Deutsche Grammophon Literatur/ 471 944-2 / ISBN 3-8291-1143-6,1:47:50,,2,G Gisela Zoch-Westphal,,
spa:Audio,STS-Audio00001073,CDD 051,,"Theaterstimmen: 60 legendäre Schauspieler im Originalton von 1901 bis 2006, 2 CD Szenen","S, R","Starz, Ingo",,,der hörverlag,2007,,,Geschenk Autor,2,G Autor,,
spa:Audio,STS-Audio00001074,CDD 052,,"Leo Nikolajewiìsch Tolstoi, Anna Karenina. Aus dem Russischen von Fred Ottow","H, R","Tolstoi, Leo Nikolajewiìsch",Texteinrichtung: Hannjo Kesting,Gert Westphal,,1990,Deutsche Grammophon / ISBN 3-8291-1161-4,19:11:08,,16,G Gisela Zoch-Westphal,,
spa:Audio,STS-Audio00001075,CDD 053,,Washington Square. Gelesen von Gert Westphal. Aus dem Amerikanischen von Alfred Kuoni,"H, R","James, Henry",Regie: Hanjo Kesting; Technik: Kathrin Käufer,Gert Westphal,,1992,Deutsche Grammophon / ISBN 978-3-8291-2020-3,7:57:07,,7,G Gisela Zoch-Westphal,,
spa:Audio,STS-Audio00001076,CDD 054/1-2,,Wallenstein. Ein dramatisches Gedicht. [1] Die Piccolomini,S,"Schiller, Friedrich","R: Ludwig Cremer (auf der Basis der Inszenierung durch Leopold Lindtberg am Burgtheater Wien, 1959); B: Otto Stein (auf der Basis des von Schiller selbst gekürzten ""Hamburger Manuskripts""); ML: Siegfried Franz; T: Josef Dvorak; Aufnahme u Schnitt: Christa Rosinger. Redaktion: Wolfgang Matthias Schwiedrzik und Dr. Alexander Marinovic","Ewald Balser, Albin Skoda, Walter Reyer, Andreas Wolf, Michael Janisch, Robert Lindner, Hermann Schomberg, Ludwig Hillinger, Johannes Neuhauser, Walter Stummvoll, Wolfgang Gasser, Stephan Skodler, Günter Haenel, Michael Tellering, Richard Eybner, Liselotte Schreiner, Aglaja Schmid, Judith Holzmeister","Hör Bühne, Edition Mnemosyne, NDR; eine Aufnahme des des Norddeutschen Rundfunks, 1960 (in Co-Produktion mit dem ORF)",2004,"ISBN 3-934012-22-1, HB 3009, EAN 9783934012226",01:40:18,"Booklet: Hartmut Reinhardt: Schillers ""Wallenstein"" - Die Tragödie eines Verrats; Leopold Lindtberg: ""Play Schiller""? Rückschau und Ausblick",2,G Ulrike Jauslin,,
spa:Audio,STS-Audio00001077,CDD 054/3-4,,Wallenstein. Ein dramatisches Gedicht. [2] Wallensteins Tod,S,"Schiller, Friedrich","R: Ludwig Cremer (auf der Basis der Inszenierung durch Leopold Lindtberg am Burgtheater Wien, 1959); B: Otto Stein (auf der Basis des von Schiller selbst gekürzten ""Hamburger Manuskripts""); ML: Siegfried Franz; T: Josef Dvorak; Aufnahme u Schnitt: Christa Rosinger. Redaktion: Wolfgang Matthias Schwiedrzik und Dr. Alexander Marinovic","Ewald Balser, Albin Skoda, Walter Reyer, Andreas Wolf, Michael Janisch, Robert Lindner, Hermann Schomberg, Ludwig Hillinger, Johannes Neuhauser, Walter Stummvoll, Wolfgang Gasser, Stephan Skodler, Günter Haenel, Michael Tellering, Richard Eybner, Liselotte Schreiner, Aglaja Schmid, Judith Holzmeister, Hermann Thimig, Heinz Woester, Eduard Volters, Peter Jost, Hanns Obonya, Heinz Altringen, Karl Blühm, Klaus Logau, Trude Ackermann","Hör Bühne, Edition Mnemosyne, NDR; eine Aufnahme des des Norddeutschen Rundfunks, 1960 (in Co-Produktion mit dem ORF)",2004,"ISBN 3-934012-22-1, HB 3009, EAN 9783934012226",02:13:12,"Booklet: Hartmut Reinhardt Schillers: ""Wallenstein"" - Tragödie eines Verrats; Leopold Lindtbert: ""Play Schiller""? Rückschau und Ausblick",2,G Ulrike Jauslin,,
spa:Audio,STS-Audio00001078,CDD 055/1-2,,"The infernal comedy. Confessions of a serial killer / Bekenntnisse eines Serienmörders. Text (nach einer Idee von Martin Haselböck und Birgit Hutter): Michael Sturminger. Musikalisches Konzept: Martin Haselböck; Musik von Vivaldi, Gluck, Haydn, Mozart, Beethoven, Boccherini, Weber. Live-Aufnahme der szenischen Produktion Ronacher Wien, Juli 2009.",CE,"Sturminger, Michael (Vivaldi, Gluck, Haydn, Mozart, Beethoven, Boccherini, Weber)","ML: Martin Haselböck, R: Michael Sturminger; K: Birgit Hutter; RAss: Christiane Lutz",John Malkovich (Jack Unterweger); Laura Aikin (Sopran I); Aleksandra Zamojska (Sopran II); Orchester Wiener Akademie,membran LC 12281,2010,EAN: 4019272602238,01:36:22,"Booklet: E, D u F; 2 CD: '00:55:07 + '00:41:55",2,NL N. Klassen,,
spa:Audio,STS-Audio00001079,CDD 056/01,,"Kinski spricht Villon (Deutsche Nachdichtung von Paul Zech). (Klaus Kinski spricht Werke der Weltliteratur, CD 01). ",R,"Kinski, Klaus (François Villon)",R: Klaus Kinski,Klaus Kinski,"Universal Music GmbH LC 00173; Aufnahme 1959, 1960 in Wien",2003,EAN: 0602498003831; ISBN: 3-8291-1366-8,01:06:00,,1,NL N. Klassen,,
spa:Audio,STS-Audio00001080,CDD 056/02,,"Kinski spricht Goethe und Villon (Deutsche Nachdichtung von Paul Zech). (Klaus Kinski spricht Werke der Weltliteratur, CD 02)",R,"Kinski, Klaus (Johann Wolfgang von Goethe; François Villon)",R: Klaus Kinski,Klaus Kinski,"Universal Music GmbH LC 00173; Aufnahme von Goethe 1961 in Wien, Aufnahme von Villon 1960 in Hamburg und 1959 in Berlin",2003,EAN: 0602498003831; ISBN: 3-8291-1366-8,01:00:00,,1,NL N. Klassen,,
spa:Audio,STS-Audio00001081,CDD 056/03,,"Kinski spricht Rimbaud (Deutsche Nachdichtung von Paul Zech). (Klaus Kinski spricht Werke der Weltliteratur, CD 03)",R,"Kinski, Klaus (Arthur Rimbaud)",R: Klaus Kinski,Klaus Kinski,Universal Music GmbH LC 00173; Aufnahme 1959 in Berlin und Wien,2003,EAN: 0602498003831; ISBN: 3-8291-1366-8,00:58:00,,1,NL N. Klassen,,
spa:Audio,STS-Audio00001082,CDD 056/04,,"Kinski spricht Strindberg (Deutsche Übertragung: Tabitha von Bonin) und Baudelaire (Deutsche Übertragung: Carl Fischer). (Klaus Kinski spricht Werke der Weltliteratur, CD 04)",R,"Kinski, Klaus (August Strindberg, Charles Baudelaire)",R: Klaus Kinski,Klaus Kinski,Universal Music GmbH LC 00173; Aufnahme 1962 in Wien und 1960 in Hamburg,2003,EAN: 0602498003831; ISBN: 3-8291-1366-8,01:05:00,,1,NL N. Klassen,,
spa:Audio,STS-Audio00001083,CDD 056/05,,"Kinski spricht Schiller. (Klaus Kinski spricht Werke der Weltliteratur, CD 05)",R,"Kinski, Klaus (Friedrich Schiller)",R: Klaus Kinski,Klaus Kinski,Universal Music GmbH LC 00173; Aufnahme 1959 in Wien,2003,EAN: 0602498003831; ISBN: 3-8291-1366-8,00:52:00,,1,NL N. Klassen,,
