owl:Class,dct:identifier,spa:accessionNumber,ex:SignaturAlt_CabaretArchiv,schema:name,schema:genre,schema:author,eclap:director,schema:performer,schema:productionCompany,ex:Jahr,ex:Referenz,schema:duration,schema:comment,ex:Anzahl,ex:Lieferant,ex:Schlagwort,ex:Art
spa:Audio,STS-Audio00000001,CD 001,,L'Histoire du Soldat. (70e anniversaire de la Création 1988). Mit 16-seitigem Beiheft F/E/D.,"Op, Sm","Strawinsky, Igor; Ramuz, Charles Ferdinand",ML: Dominique Debart,Georges Descrieres (Récitant) Jean-Pierre Wallez (Violon); Ensemble Instrumental de Basse Normandie,Forlane,1988,Forlane UCD 16580,,ok: cs:08/90 (Mit Auberjonois-Cover aus der STS),1,G Verlag,,
spa:Audio,STS-Audio00000002,CD 002,,Fête des Vignerons. Vevey 1955. Compositeur: Carlo Hemmerling,"TBB, Mu, CF, CH","Hemmerling, Carlo; Géo H. Blanc",ML: Carlo Hemmerling,"Paul Sandoz, Charles Jauquier, Roger Cochard, Choeur, La musique de la Garde Républicaine",Vevey: Fête des Vignerons 1955,1987 (1955),Philips 832 318-2,,,1,Club Evasion,,kommerziell
spa:Audio,STS-Audio00000003,CD 003,,Fête des Vignerons. Vevey 1977 (Vol. 1). Compositeur: Jean Balissat; Texte: Henri Debluë,"TBB, Mu, CF, CH","Balissat, Jean; Henri Debluë","ML: Jean Balissat; CL: André Charlet, Jean-Jacques Rapin, Adrien Pasche","Jean-Luc Wicht, Orchestre Symphonique de la Fête des Vignerons (Orchestre de Chambre de Lausanne et de l'Union Suisse des Artistes musiciens), Choeurs de la Fête des Vignerons, Choeur d'enfants, Musique de la Landwehr, Fribourg",Vevey: Fête des Vignerons 1977,1987 (1977),Philips 832 000-2,,,1,Club Evasion,,kommerziell
spa:Audio,STS-Audio00000004,CD 004,,"Seldwyla '91. Erstes Schweizer Freilicht-Folklore-Musical auf der Rigi von Hans Gmür nach Motiven von Gottfried Keller. Musik von Alex Eugster, Carlo Brunner, Willi Brameshuber","Mu, CH","Gmür, Hans",R: Inigo Gallo,"Leo Roos, Sepp Trütsch, Maja Brunner, Ueli Beck, Daniela Thalmann, Walter Andreas Müller, Hansjörg Bahl, Sabina Kuhn, Nicolai Mylanek, Daniel Bill u.a.",Schwingplatz Rigi-Staffel; P: 7.7.1991,1991,Activ Records 5-2756,,,1,CS/ExLibris,,kommerziell
spa:Audio,STS-Audio00000005,CD 005,,Tierra! Tierra! [Multimedia] Eine allegorische Blitzoper in zwölf Bildern,Op,"Zimmermann, Robert; Peter Bräker",0,0,0,1991,0,0:13:12,Beilage zu Buch (STS-Sig. 8.2: Zimm 1000),1,Haupt,,Beilage zu Publ.
spa:Audio,STS-Audio00000006,CD 006,,"John Cage: Concert/ Diary/ Gespräch. 1. Concert For Piano And Orchestra. 1957-58. 2. Diary: How To Improve The World (You Will Only Make Matters Worse). Continued 1970-71 (Auszug). 3. John Cage und Klaus Schöning im Gespräch (Aufgenommen nach der Produktion des Diary für die achtteilige WERGO-Edition, Zürich 24.6.1991)","I, D","Cage, John",(1.) ML: Merce Cunningham,"(1.) David Tudor, Anahid Ajemian, Allen Martin, Isadore Cohen, Burton Fish, William Gromko, Joan Brockway, Jesse Taiko, Andrew Lolya, Albert Kaufman, Sy Schwartzberg, Melvil Broiles, Frank Rehak, Dan Butterfield (2.) John Cage",,1994,Wergo WER 3022-2,0:52:44,"Beilage zu Neue Zeitschrift für Musik, Heft 5/94 (STS-Sig. Z3: 12)",1,Z-Beilage,,Beilage zu Publ.
spa:Audio,STS-Audio00000007,CD 007,,"Lerke von Saalfeld im Gespräch mit György Ligeti (Stuttgart, 11.6.1992)","D, 00","Ligeti, György",0,00 (György Ligeti),,1993,Wergo WER 3021-2,1:06:50,"Beilage zu Neue Zeitschrift für Musik, Heft 1/93 (STS-Sig. Z3: 12)",1,Z-Beilage,,Beilage zu Publ.
spa:Audio,STS-Audio00000008,CD 008/1,,Kulissengespräche [I]. Das Beste aus der Opernwerkstatt. Weltstars erzählen Anekdoten. Hrsg. von den Freunden der Wiener Staatsoper.,"D, Op",00/Div,"Gestaltung: Peter Dusek, René Michler; Interviewer: Volkmar Parschalk, Georg Springer, Peter Dusek; Übersetzung: Rita Koch, Christiane Springer","Sena Jurinac, Ljuba Welitsch, Erich Kunz, Otto Edelmann, Leonie Rysanek, Franco Corelli, Birgit Nilsson, Hans Hotter, Renata Tebaldi, Luciano Pavarotti, Walter Berry, Placido Domingo, Heinz Zednik, Eva Marton, Eberhard Waechter, José Carreras u.a.",(A-Wien: Staatsoper; ORF),1993 (1977-1991),J&V Edition Wien/ Polygram Austria 443 165-2,1:15:36,"Beilage zu gleichnamigem Buch (STS-Sig. 13.1: 348(1)): CD mit Gesprächsfragmenten aus der ""Opernwerkstatt und verstümmelten Musikbeispielen (Th. B. in NZZ, 18./19.12.1993, S. 24)",1,G Kachler,,Beilage zu Publ.
spa:Audio,STS-Audio00000009,CD 008/2,,Kulissengespräche II. Das Beste aus der Opernwerkstatt,"D, Op",00/Div,,Baltsa; Carreras; Correlli; Czerwenka; Domingo; Fischer-Dieskau; Gruberova; Jurinac; Ludwig; Nilsson; Pavarotti; Rysanek; Siepi; Skovhus; Sutherland; Waechter und andere,,1995,J&V 446 961-2,,Beilage zu gleichnamigem Buch (STS-Sig. 13.1: 348(2)),1,,,Beilage zu Publ.
spa:Audio,STS-Audio00000010,CD 009,,"Bad Boy Hindemith? 1: PH: Streichtrio op. 34, 1. Satz; 2. PH: Sonate für Klavier zu vier Händen; 3. WAM: Duo für Violine und Bratsche KV 424; 4. Inteview mit PH; 5. GD: Missa Ave Regina Coelorum, Kyrie","I, V, D","Hindemith, Paul (Mozart, Wolfgang Amadeus; Dufay, Guillaume)",ML: Paul Hindemith (9),"Paul Hindemith, Walter Caspar (1), Rudolf Hindemith (1), Jesus Maria Sanromá (2), Szymon Goldberg (3), Collegium Musicum Of Yale University School Of Music (5)",00 (Div),1995,Wergo WER 3023-2,0:49:00,"Beilage zu Neue Zeitschrift für Musik, Heft 5/95 (STS-Sig. Z3: 12)",1,Z-Beilage,,Beilage zu Publ.
spa:Audio,STS-Audio00000011,CD 010,,Josef Krips  50 Jahre Operndirigent in Wien. Vortrag für den Wiener Kulturkreis am 26. November 1973 im Brahms-Saal des Musikvereins. Aufgenommen von der Österreichischen Phonothek,"D, R, Op","Krips, Josef",0,Josef Krips,0,1973,AC 94021,,Beilage zum Buch Josef Krips  Ohne Liebe kann man keine Musik machen [STS-Sig: 13.2: Krip 301],1,Buch-Beilage,,Beilage zu Publ.
spa:Audio,STS-Audio00000012,CD 011,,Wer schrie: Kreuzige ihn? Ein Hearing zum Karfreitags- und Ostergeschehen. Hörspiel,H,"Schwarz, Manfred",R: Bruno Felix,"Jöns Andersson, Peter Oehme, Wolfgang Forester, René Scheibli, Gisela Zoch, Inigo Gallo, Robert Tessen, Otto Mächtlinger","Radio DRS, Studio Zürich",1968 (1995),,,"Beilage zu Buch 7.2: Schwa 309. CD-Produktion: Radio DRS Basel, 1995",1,Buch-Beilage,,Beilage zu Publ.
spa:Audio,STS-Audio00000013,CD 012,,Michel Simon  entretiens et chansons. Hommage pour le 100ème anniversaire de sa naissance,"S, Fi, CF, D",00/Div (Michel Simon; Alfred Jarry; M. Achard; Anton Tchekov),,Michel Simon; François Simon; Edith Piaf; Marlène Dietrich; Brigitte Bardot; S. Gainsbourg; Arletty; C. Trenet,,1995,Disques Office DO 65149/50,,16-seitiges Beiheft. (Vgl. VK A48),2,0,,kommerziell
spa:Audio,STS-Audio00000014,CD 012/2,,Jean de la lune. Acte I,S,"Achard, Marcel",,Michel Simon,,,,0:03:06,In: Entretiens et chanson / Michel Simon,,Haupt,,
spa:Audio,STS-Audio00000015,CD 012/2,,Jean de la lune. Acte II,S,"Achard, Marcel",,Michel Simon,,,,0:03:14,In: Entretiens et chanson / Michel Simon,,Haupt,,
spa:Audio,STS-Audio00000016,CD 012/2,,Les méfaits du tabac,S,"Tchekov, Anton",,François Simon,,,,0:12:24,In: Entretiens et chanson / Michel Simon,,Haupt,,
spa:Audio,STS-Audio00000017,CD 013,,Unvergessener Robert Stolz  Seine schönsten Melodien,"Ot, CD","Stolz, Robert",ML: Robert Stolz; Edoardo Müller; Helmuth Froschauer; Werner Eisbrenner; Hans Garste; Johannes Fehring,"Melitta Muszely; Rudolf Schock; José Carreras; Hermann Prey; Dagmar Koller; Peter Alexander; Anna Moffo; Julia Migenes; René Kollo; Milva; Fritz Wunderlich; Nicolai Gedda; Aneliese Rothenberger;  Monika Dahlberg; Ferry Gruber; Harry Friedauer; Erika Pluhar; Erika Köth; Karel Gott; Rex Gildo; Marianne & Michael mit Orchester; Klavier: Richard Claydermann und Robert Stolz; Die Wiener Symphoniker; Chor und Orchester der Wiener Volksoper; English Chamber Orchestra; Chor/Symphonie-Orchester Graunke; Die Berliner Symphoniker; Orchester Hagen Galatis; Orchester Johannes Fehring; Die Konzertvereinigung des Wiener Volksopernorchesters; Orchester Arno Flor; Fred Bertelmann/Die Rosy-Singers/Orchester Heinz Alisch; Günter Noris, sein Orchester und die Big Band der Bundeswehr; Willy Schneider mit Orchester; ",,,SONO CORD 30 633 2 (30634 0/30635 7),2:10:59,4-seitiges Beiblatt,2,G Einzi Stolz,,kommerziell
spa:Audio,STS-Audio00000018,CD 014,,"Frag nicht, warum. Die letzten Klavieraufnahmen von Robert Stolz, aufgenommen in 1974, veröffentlicht als CD 1990 unter dem Titel ""Meinen Freunden zur Erinnerung"" bei PILZ GmbH & Co. (P) 1979 Fono Team Produktions- und Vertriebsgesellschaft mbH Hamburg. Gert Westphal spricht (in 1995) die Texte.","Ot, R","Stolz, Robert",,Flügel: Robert Stolz; Sprache: Gert Westphal,,1995,LITRATON CD: 5.8916,0:54:00,7-seitiges Beiheft,1,G Einzi Stolz,,kommerziell
spa:Audio,STS-Audio00000019,CD 015/1-2,,"Musik Theater Musik : ein Ton-und Ideenarchiv für die Spiel-,Theater-  und Musikpädagogik. 100 Tonbeispiele",0,"Gubler, Marcel; Splett-Sialm, Maria Teresa; Vogel, Fritz Franz",,,,,,,Beilage zu Buch 3.3.2: 339,2,,,
spa:Audio,STS-Audio00000020,CD 016,,Nuits Fantastiques du Loto 1994 (Extrait des musiques),"Tv,X","Yared, Gabriel",,Claviers: Gabriel Yared; Guitare Basse: Guy Delacroix; Batterie: Laurent Faucheux; Guitares: Jean-Michel Kajdan et Patrice Tison,,1994,La Française des Jeux 190794FDJ,,"Beilage zu AS 71 vom 15.12.1994, STS-Sig. Z 6:45",1,,,Beilage zu Publ.
spa:Audio,STS-Audio00000021,CD 017,,Whitestone City; Western Musical Comedy. Lyrics: Ueli Bichsel,"Mu, CH","Burch, Balz",CL: Doris Stähli,"Vokals: Pascale Leuenberger (1), Karl Gantert (1), Paul Schüpbach (2, 5), Beat Egli (2, 7), Guido Renner (2, 9), Irène Buri  (5, 11, 13), Myriam Chiffi (5), Sergio-Maurice Vaglio (6, 9, 10, 13), Katrin Stettler (7), Balz Bursch (7), Andrea Hitz (7), Danièle Themis (8, 11), Regula Pfeuti (8, 11), Katrin Uhlmann (10), (Solos), Chor Berner Freilicht Theater; Guitar: Cyrill Wangart (1-9, 11-14); Bass: Tobias Meinen (1-14); Piano, E-Piano, Organ  & Synth programming: Adrian Meyer (1-14); Piano: Balz Burch (2, 12); Drums und Percussion: Benno Schürmann (1-9, 11-14); Violine: Luc Balmer (1-3, 7, 11-14), Harmonica: Ursula Bieri (4)",,1996,in szene,,12-seitiges Beiheft,1,G Annemarie Luck,,abklären
spa:Audio,STS-Audio00000022,CD 018,,Romeo & Julia 90; From Teatro Antonin Artaud's musical comedy for puppets: Lyrics by Michel Poletti,"Mu, CH","Majstrorovic, Ljubo",,"Juliet: Katy Moffatt; Romeo: Paul Cowlan; Prince, Mr. Paris, Old Capulet and Old Montaigue: Röby Wark; opening song: Annie Rattlesnake; Chorus: Katy Moffatt and Paul Cowlan; Guitar, Synthesizers: Ljubo Majstrorovic; Bodhran, Percussions: David ""Hopi"" Hopkins; Drums: Gabriel Schitknecht",,1990,RM-CD 1002,,Buchbeilage: STS-Sig.: 5.3.2: Luga 301,1,,,Beilage zu Publ.
spa:Audio,STS-Audio00000023,CD 019,,"Edita Gruberova - Querschnitt aus Nightingale Classics-Aufnahmen. (1. Beatrice di Tenda, Ah se un'urna è ame concessa (finale secondo); Vien diletto (Wahnsinnsarie) ; 2. Roberto Devereux, Questa gemma d'onde avesti, (2. Akt Szene 8); Roberto Devereux, Mirate: quel palco di sanguerosseggia (Scena ultima); La Fille du Regiment, ...En avant! (2.Akt); 3. Manon Lescaut, On le disait habile (1. Akt, ""Lach-Arie); 4. Mireille, Oh légère hirondelle (1.Akt); 5. Der Vogelhändler, Als geblüht der Kirschbaum (3. Akt); 6. Candide, Glitter and be Gay (1. Akt)","Op, Ot, Mu",00/Div (1. Bellini; 2. Donizetti; 3. Auber; 4. Gounod; 5.  Zeller; 6. Bernstein),,"Edita Gruberova, Etore Kim, Francesco Ellero-d'Artegna, Delores Ziegler, Rosa Laghezza, Phillippe Fourcade, u.a",,,NC 231246-2,,Buchbeilage STS-Sig. 13.2. Grub 301,1,,,Beilage zu Publ.
spa:Audio,STS-Audio00000024,CD 020,,"Strom! Neue Zeitschrift für Musik (CD-Beilage zu Heft 5/96) (1. The Silver Scale; 2. Bicycle Built for Two; 3. Trio; 4. Don Quixotte Corporation, zweiter Satz; 5. Synchronism No. 9, Ausschnitt; 6. Vom Uebersetzen über den Fluss, Ausschnitt; 7. The Sea Darkens, Ausschnitt; 8. Kyotaku, Ausschnitt; 9. A little Traveling Music, Ausschnitt; 10. VOX-5, Ausschnitt; 11. FMelodies II, Ausschnitt; 12. Il Nome, Ausschnitt; 13. Five Inventions Accompanied by Computers; 14. Mortuos Plango, Vivos Voco, Ausschnitt; 15. Flute Control, Ausschnitt; 16. L'autre face, Ausschnitt; 17. Three Asko Pieces; 18 Points, Ausschnitt; 19. Bowling for Blood","I, D","00/Div (1. Guttmann, Newman; 2. Mathews, Max; 3. Ferretti, Ercolino; 4. Savouret, Alain; 5. Davidovsky, Mario; 6. Goebel, Johannes; 7. Yuasa, Joji; 8. Bennet, Gerald; 9. Rush, Loren; 10.Wishart, Trevor; 11. Maiguashca, Mesias; 12. Karpen, Richard; 13. Rai, Takayuki; 14. Harvey, Jonathan; 15. Kessler, Thomas; 16. Risset, Jean-Claude; 17. Koenig,Gottfried Michael; 18. Lindwall, Christer; 19. Fulton, Douglas)",,,,1996,,0:57:27,CD-Beilage zu Neue Zeitschrift für Musik Heft 5/96: STS Z 3.12,1,,,Beilage zu Publ.
spa:Audio,STS-Audio00000025,CD 021,,"Klangwelten. Klangbeispiele zum Beitrag ""Konkrete Musik"" von Rudolf Frisius. Neue Zeitschrift für Musik (CD-Beilage zu Heft 5/97) (1. Pochette surprise; 2.Bilude; 3.Solfege de l´objet sonore; 4. Etude pathetique; 5. Etude aux chemins de fer; 6. L´oeil ecoute, 7. Grand bruit; 8. Deserts; 9. Hommage à Robur; 10. L'oiseau; 11. L'oiseau chanteur; 12. Sud; 13. Motet; 14. Vocalises; 15. Léo le jour; 16. Etude numérique; 17. Sanctus; 18. Popeclectic; 19. L'aura d'Olga; 20. Etudes aux sons tendus; 21. Histoire calme; 22. Chrysalide; 23. Rhythmus ","I, 00","Frisius, Rudolf (1.-5. Schaeffer, Pierre; 6. Parmegiani, Bernard; 7. Zanesi, Christian; 8. Varèse, Edgard; 9. Bayle, François; 10. Schaeffer, Pierre; 11. Bayle, François; 12. Risset, Jean-Claude; 13. Rollin, Monique; 14. Henry, Pierre; 15. Teruggi, Daniel; 16. Savouret, Alain; 17. Chion, Michel; 18. Parmegiani, Bernard; 19. Schaeffer, Pierre; 20. Ferrari, Luc; 21. Bayle, François; 22. Dufour, Denis; 23. Donato, François",,,,1997,,0:51:27,CD-Beilage zu Neue Zeitschrift für Musik Heft 5/97: STS Z 3:12,1,,,
spa:Audio,STS-Audio00000026,CD 022,,"Symphonie en ut majeur (1. Allegro non troppo vivace, ma con fuoco; 2. Andante espressivo e sostenuto; 3. Allegro spiritoso)",I,"Dukas, Paul ","R: Foster, Lawrence",Orchestre philharmonique de Monte-Carlo,,1997 (1991),,0:57:23,CD-Beilage zu Neue Zeitschrift für Musik Heft 5/97: STS Z 3.12,,,,
spa:Audio,STS-Audio00000027,CD 022,,"Pelléas et Mélisande (4. Prélude, quasi adagio; 5. Andantino, quasi allegretto; 6. Sicilienne, allegretto molto moderato; 7. Molto adagio) ",I,"Fauré, Gabriel ","R: Foster, Lawrence",Orchestre philharmonique de Monte-Carlo,,1997 (1991),,0:57:23,CD-Beilage zu Neue Zeitschrift für Musik Heft 5/97: STS Z 3.12,,,,
spa:Audio,STS-Audio00000028,CD 023,,"West Side Story. Lyrics: Stephen Sondheim; Book: Arthur Laurents (1. Prologue and Jet Song; 2. Something's coming; 3. The dance at the gym; 4. Maria; 5. Tonight; 6. America; 7. One hand one heart; 8. I feel party; 9. Gee, Officer Krupke; 10. A boy like that; 11. I have a love; 12. Somewhere)",Mu,"Bernstein, Leonard",,"Paul Manuel, Caroline O'Connor, Tinuke Olafimihan, Nicholas Warnford et. al.",,1993,,0:55:39,CD-Beilage zu The Musicals Collection Heft 1/1995: STS Z 2: 8,1,Weltbild Verl.,,
spa:Audio,STS-Audio00000029,CD 024,,"The Phantom of the Opera. Lyrics: Charles Hart; Book: Richard Stilgoe, Andrew Lloyd Webber. (1. Overture; 2. Think of me; 3. Angel of Music; 4. Angel of Music (Phantom's version; 5. The Phantom of the opera; 6. Music of the night; 7. Prima Donna; 8. All i ask of you; 9. Entr'acte; 10. Masquerade; 11. Wishing you were somehow here again; 12. The point of no return)",Mu,"Webber, Andrew Lloyd",,"John Barrowman, Graham Bickley, Claire Moore, Michael Bauer, Sandra Dudgale, Megan Kelly, Ramon Remdios, Gay Soper, Mark Wynter et. al.",,1994,,0:42:38,CD-Beilage zu The Musicals Collection Heft 2/1995: STS Z 2: 8,1,Weltbild Verl.,,
spa:Audio,STS-Audio00000030,CD 025,,Cabaret. Lyrics: Fred Ebb; Book:Joe Masteroff. Based on the play by John van Druten (1. Willkommen; 2. Don't tell Mama; 3. The telephone song; 4. Perfectly marvellous; 5. Two Ladies; 6. Tomorrow belongs to me; 7. Why should I wake up; 8. Maybe this time; 9. Sitting pretty; 10. If you could see her; 11. Cabaret; 12. Finale),Mu,"Kander, John",,"Jonathan Pryce, Maria Friedmann, Gregg Edelman, John Mark Ainsley et. al   ",,1994,,0:42:53,CD-Beilage zu The Musicals Collection Heft 8/1995: STS Z 2: 8,1,Weltbild Verl.,,
spa:Audio,STS-Audio00000031,CD 026,,"Grosse Tenöre singen seine schönsten Lieder (1. Ich liebe die Welt; 2. Komm in den Park von Sanssouci; 3. Du bist auf dieser Welt; 4. Du, du, du schliess deine Augen zu; 5. Im Prater blüh'n wieder die Bäume; 6. Mein Herz ruft immer nach dir, o Marita ; 7.Wien wird bei NAcht erst schön; 8. Adieu, mein kleiner Gardeoffizier; 9. Ob blond, ob braun, ich liebe alle Fraun; 10. Auf der Heide blühn die letzten Rosen; 11. Komm wir geh'n dem Schein des Mondes nach; 12. So lang es Frauen gibt, so lang gibt's Liebe; 13. Ave Maria, op. 621; 14. Die ganze Welt ist himmelblau; 15. Das Lied ist aus; 16. Arividerci bella Italia! ; 17. Ich bin verliebt in meine eigene Frau; 18. Zwei Herzen im Dreivierteltakt; 19. Schenk mir dein Herz heute Nacht; 20. Servus du)      ","Ot, CD, V","Stolz, Robert",,"Erika Köth, Julia Migenes, Anneliese Rothenberger, René Kollo, Fritz Wunderlich, Richard Tauber, Jan Kiepura, José Carreras, Rudolf Schock, Nicolai Gedda, Leo Slezak",,,,1:10:42,,1,,,
spa:Audio,STS-Audio00000032,CD 027,,"Musik war mein Leben (1. Gruss aus Wien; 2. Melodien von Robert Stolz; 3. Frühlingsstimmen, opus 410; 4. Im Prater blüh'n wieder die Bäume; 5. Frühjahrsparade; 6. Wo die Zitronen blühn; 7. Gibt's in Wien a Hetz, a Drahrerei; 8. Wiener Café; 9. Annen-Polka, opus 117; 10. Wenn die kleinen Veilchen blühn; 11. Tritsch-tratsch-polka, opus 214; 12. Radetzky-Marsch, opus 238; 13. Kleine Melodie aus Wien; 14. UNO-Marsch; 15. Adieu, mein kleiner Gardeoffizier) ","Ot, CD, V","Stolz, Robert",,"Johann Strauss (Sohn), Johann Strauss (Vater), Pinelli, Aldo von",,1997,,,,1,,,
spa:Audio,STS-Audio00000033,CD 028,,"Maria Callas : Arien, Szenen, Interview ","Op, D",00/Div,,,SK Compact Disc,1997,,,Beilage zu : Scala Nr. 1 (1998) Signatur: Z 2: 999,1,,,
spa:Audio,STS-Audio00000034,CD 029,,Oklahoma. Buch und Gesangstexte: Oscar Hammerstein II,Mu,"Rodgers, Richard; Hammerstein II, Oscar",,"Madge Ryan, John Diedrich, Rosamund Shelley, Mark White, Alfred Molina, Jillian Mack",,1994,,0:48:50,CD-Beilage zu The Musicals Collection Nr. 4/1995 (Z2: 8),1,,,
spa:Audio,STS-Audio00000035,CD 030,,Me & My Girl. Buch und Gesangstexte: L. Arthur Rose und Douglas Furber (1: Ouverture; 2: A Weekend In Hareford; 3. Me And My Girl; 4. An English Gentleman; 5. You Would If You Could; 6. Once You Lose Your Heart; 7. The Lambeth Walk; 8. The Sun Has Got His Hat On; 9. Take It On The Chin; 10. Love Makes The World Go Round; 11. Leaning On A Lampost; 12. Finale),Mu,"Gay, Noel",,"Robert Lindsay, Maryann Plunkett, Jane Summerhays, George S. Irving, Jane Connell",,1994,,0:41:04,CD-Beilage zu The Musicals Collection Nr. 5/1995 (Z2: 8),1,,,
spa:Audio,STS-Audio00000036,CD 031,,Orchesterwerke (1. In Memorian Bertolt Brecht. 2. Bach-Variationen. 3.  Orchestermusik Nr. 2 (Meer der Stürme) und Orchestermusik Nr. 4),I,"Dessau, Paul",,"Staatskapelle Berlin (L: Günther Herbig), Gewandhausorchester Leipzig (L: Paul Dessau), Rundfunk-Sinfonie-Orchester Leipzig (L: Herbert Kegel)",Berlin : Edel Company,1994,,,,1,,,
spa:Audio,STS-Audio00000037,CD 032,,Show Boat. Buch und Gesangstexte: Oscar Hammerstein II. (1. Overture 2. Cotton Blossom 3. Where's the mate for me? 4. Make Believe 5. Ol'man river 6. Can't help lovin' dat man 7. Life upon the wicked stage 8. You are love 9. Why do I love you 10. Bill 11. After the ball 12. Finale),Mu,"Kern, Jerome",,"Brian Greene, Fran Landesman, Caroline O'Connor, Jason Howard, Janis Kelly, Willard White, Sally Burgess, Shezwae Powell",,1994,,0:51:22,CD-Beilage zu The Musicals Collection Nr. 6/1995 (Z2: 8),1,,,
spa:Audio,STS-Audio00000038,CD 033,,Musik sprechen,0,0,,"Gil J. Wolman, François Dufrêne, Jean-Louis Brau, Henri Chopin, Josef Anton Riedl, Gerhard Rühm, Carlfriedrich Claus, Franz Mon, Bob Cobbing, Jaap Blonk",,1998,,0:47:42,CD-Beilage zu Neue Zeitschrift für Musik Heft 5/98: STS Z 3.12,1,,,
spa:Audio,STS-Audio00000039,CD 034,,Camelot. Book and Lyrics by Alan Jay Lerner. (1. Overture 2. I wonder what the king is doing tonight 3. The simple joys of Maidenhood 4. Camelot 5. C'est moi 6. The lusty month of May 7. How to handle a woman 8. If ever i would leave you 9. The seven deadly virtues 10. What do the simple folks do? 11. I loved you once in silence.),Mu,"Loewe, Frederick",,"Richard Harris, Fiona Fullerton, Robert Meadmore, Michael Howe, William Squire, Robin Bailey ",,1989,,0:37:95,CD-Beilage zu The Musicals Collection Nr. 7/1995 (Z2: 8),1,,,
spa:Audio,STS-Audio00000040,CD 035,,Wachtmeister Studer. Kriminalhörspiel,H ,"Glauser, Friedrich","R: Martin Bopp; Dra: Hans Burkhard Schlichting, B: Markus Michel","Peter Arens, Heinz Bühlmann, Urs Weber, Dorothee Reize, Buddy Elias, Hans Rudolf Spühler, Albert Freuler, Peter Holliger, Margit Winter, Matthias Schuppli, Peter Siegenthaler, Birgit Steinegger, Susanne Thommen, Daniel Kasztura, Renate Steiger, Willy Buser, Iris Werlin, Hans Rudolf Twerenbold, MArtin Bopp, Sibylle Courvoisier, Lea Schmocher ","SWR/DRS, Studio Basel",1999,,0:59.50,mit Booklet,1,Haupt,Hörspiel,
spa:Audio,STS-Audio00000041,CD 036,,Die Perser (Monolog der Atossa),S,Aischylos,,Elisabeth Flickenschildt,Hamburg ,,,0:03:12,Harenberg Schauspielführer  (zu Sign.:  1.3: 39),,Haupt,,
spa:Audio,STS-Audio00000042,CD 036,,Empfindliches Gleichgewicht (Dialog aus dem 1. Akt),S,"Albee, Edward",,"Charles Regnier, Pamela Wedekind",Hamburg ,,,0:05:15,Harenberg Schauspielführer  (zu Sign.:  1.3: 39),,Haupt,,
spa:Audio,STS-Audio00000043,CD 036,,Antigone (1. Auftritt),S,"Anouilh, Jean",,"Tilla Durieux, Marie-Louise Hengherr",Hamburg ,,,0:07:25,Harenberg Schauspielführer  (zu Sign.:  1.3: 39),,Haupt,,
spa:Audio,STS-Audio00000044,CD 036,,Das Konzert (Mittschnitt einer Aufführung des Deutschen Schauspielhauses Hamburg. 2. Akt Szenenausschnitt Albert Heink),S,"Bahr, Hermann",R: Gustaf Gründgens,"Gustaf Gründgens, Marianne Hoppe, Heinz Reincke, Sabine Hahn",Hamburg : Deutsches Schauspielhaus,1962,,0:08:12,Harenberg Schauspielführer  (zu Sign.:  1.3: 39),,Haupt,,
spa:Audio,STS-Audio00000045,CD 036,,"Warten auf Godot (2. Akt, Szenenausschnitt)",S,"Beckett, Samuel",R: Walter D. Asmus,"Horst Bollmann, Stefan Wigger",Berlin : Schiller Theater,1974/75,,0:05:19,Harenberg Schauspielführer  (zu Sign.:  1.3: 39),,Haupt,,
spa:Audio,STS-Audio00000046,CD 036,,"Glückliche Tage (2.Akt, Szenenausschnitt)",S,"Beckett, Samuel",,"Grete Mosheim, Rudolf Fernau",,,,0:06:44,Harenberg Schauspielführer  (zu Sign.:  1.3: 39),,Haupt,,
spa:Audio,STS-Audio00000047,CD 036,,"Draussen vor der Tür (5.Szene, Schlussmonolog des Beckmann",S,"Borchert, Wolfgang",R: Ludwig Cremer ,Hans Quest,,,,0:06:37,Harenberg Schauspielführer  (zu Sign.:  1.3: 39),,Haupt,,
spa:Audio,STS-Audio00000048,CD 036,,Die Dreigroschenoper (die Moritat Mackie Messer),"S, Op","Brecht, Bert; Weill, Kurt",ML: Hans-Dieter Hosalla; M: Kurt Weill,Wolf Kaiser,,,,0:02:45,Harenberg Schauspielführer  (zu Sign.:  1.3: 39),,Haupt,,
spa:Audio,STS-Audio00000049,CD 036,,"Die Dreigroschenoper (1.Akt: Tief im Herzen Sohos feiert der Bandit Mackie Messer seine Hochzeit mit Polly Peachum, der Tochter des Bettlerkönigs) ","S, Op","Brecht, Bert; Weill, Kurt",R: Harald Vock,"Hannes Messemer, Karin Baal",,,,0:08:32,Harenberg Schauspielführer  (zu Sign.:  1.3: 39),,Haupt,,
spa:Audio,STS-Audio00000050,CD 036,,Mutter Courage und ihre Kinder (Lied der Mutter Courage),S,"Brecht, Bertolt",,,,,,0:05:32,Harenberg Schauspielführer  (zu Sign.:  1.3: 39),,Haupt,,
spa:Audio,STS-Audio00000051,CD 036,,Mutter Courage und ihre Kinder (das Wiegenlied),S,"Brecht, Bertolt",ML: Peter Fischer; M: Paul Dessau,Therese Giese,,,,0:01:14,Harenberg Schauspielführer  (zu Sign.:  1.3: 39),,Haupt,,
