owl:Class,dct:identifier,schema:name,ex:TheaterKlassifikation,schema:addressLocality,ex:AblageortSTS,schema:addressRegion,schema:relatedLink,schema:Organization,ex:rep,ex:statusaaktivnanichtaktiv,ex:EckdatennichtSTS,ex:frühereNamen,ex:Dokumente1,ex:Dokumente2,ex:Dokumente3,ex:Dokumente4
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000077,kicks (Kindertheaterfestival),FES STK,Bern,Bern: Schlachthaus Theater,BE,,,,a,2016-,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000078,Life Games (Tanz-Theaterspektakel),FES,Bern,Bern,BE,,,,na,2009,,,,1 C,2009
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000079,Machine Love Festival,FES,Bern,Bern: Dampfzentrale,BE,,,,a,,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000080,Literaare,FES,Thun,Thun,BE,,,,a,,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000081,Museumsnacht Bern (Berner Museumsnacht),-0,Bern,Bern,BE,,,,a,2003-,,,,1 C,"2007, 2012"
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000082,Musikfestival Bern,FES,Bern,Bern,BE,,,,a,2007-,,,,1 C,"2011, 2013"
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000083,Schul- und Jugendtheatertreffen Bern,FES STK,Bern,Bern,BE,,,,a,?,,,,1 C,(1982)-
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000084,"Schule und Theater (Projekt, Bern)",-0,Bern,Bern,BE,,,,na,?,,,,1 C,"1983, 1985, 1987, 1988"
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000085,sonOhr (Hörfestival),FES,Bern,Bern,BE,,,,a,2009-,,,,1 C,2014-
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000086,Steps To Get It,FES STT,Bern,Bern,BE,,,,a,,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000087,Tag des Tanzes (Bundesplatz),FES STT,Bern,Bern,BE,,,,na,?,,,,1 C,"1985, 1987"
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000088,Tanz in Bern (Tanz in. Bern / Tanz in.Bern),FES STT,Bern,Bern: Dampfzentrale: Tanz in Bern,BE,,,,a,,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000089,Tanzparenz,FES STT,Bern,Bern (siehe auch Bern: Tanz Aktive Plattform TAP) (siehe für tanz@dz auch Bern: Dampfzentrale),BE,,,,na,?,,,,1 C,"1994, 1998, 2000, 2002, 2006"
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000090,Tanzplattform Bern (Festival),FES STT,Bern,Bern: KTB,BE,,,,a,,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000091,TheaterSalater,FES STK,Bern,Bern,BE,,,,na,1987,,,,1 C,1987
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000092,Criminale (Krimifestival),FES,Bern/Solothurn,CH.: Einz. Reg.: Kt. Bern,BE/SO,,,,a,,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000093,Petronilla in scena (Festival Teatro dialettale),FES ATV,Biasca,Biasca,TI,,,,a,,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000094,Pod'Ring,FES,Biel,Biel,BE,,,,a,,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000095,SPOT – Schweizer Theaterfestival für junges Publikum (Festival Spot),FES STK,Biel,CH: Grundsätzliches: wechselnde Orte,BE,,,,a,,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000096,Festival Internazionale Ruggiero Leoncavallo (Festival Ruggiero Leoncavallo Leoncavallo-Festival Brissago),FES,Brissago,Brissago,TI,,,,a,,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000097,Journées du théâtre amateur Romand,-0,Bulle,Bulle (nicht ZSV),FR,,,,na,1983,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000098,Rencontres théâtrales ,FES ATV,Bulle,Bulle,FR,,,,a,,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000099,"""Kopfsalat""",FES VOK,Burgdorf,Kabarett: Burgdorf,BE,,,,a,,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000100,"""Kopfnuss""",FES VOK,Burgdorf,Kabarett: Burgdorf,BE,,,,a,,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000101,CTRL-J (festival),FES STK,Carouge,Genève,GE,,,,a,2015-,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000102,Printemps Carougeois (Festival),FES,Carouge,Carouge,GE,,,,a,,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000103,Maxi-Rires (Festival),FES VOK,Champéry,Champéry,VS,,,,a,,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000104,Festival de Chézard (Amateurtheater),-0,Chézard,Chézard,NE,,,,na,,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000105,Chiasso Danza,FES STT,Chiasso,Chiasso,TI,,,,a,1989-,Rassegna di Danza contemporanea,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000106,Bündner Theaterfestival,FES ATV,Chur,Chur,GR,,,,a,,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000107,Buskers (Strassenfestival),FES,Chur,Chur,GR,,,,a,,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000108,"Internationales Theaterfestival ""Klibühni Schnidrzumft""",-0,Chur,Chur,GR,,,,na,,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000109,Welt in Chur (Festival),FES,Chur,Chur,GR,,,,a,,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000110,Theatralische Adventskalender Chur,-0,Chur,Chur,GR,,,,a,2003-,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000111,Festival di Teatro al Castelmur,FES,Coltura (Stampa),Stampa,GR,,,,a,,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000112,Autour de Mme Staël (AMS),FES,Coppet,Coppet,VD,,,,a,,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000113,Carrefour des Théâtres (CDT),FES,Courrendlin,Courrendlin,JU,,,,a,,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000114,Festi’Laaf,FES,Courtételle,Courtételle,JU,,,,a,,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000115,"Jardins ... (Jardins de la liberté, 1989, Jardins de la paix, 1993, Jardins de la vieille, 1997, Jardins du Rire, 2001,  Jardins de Gavroche, 2005, Jardins du Paradis, 2009, Révolte aux Jardins, 2013, Jardins ...?, 2017) <confrérie des jardiniers>",FES,Delémont,Delémont,JU,,,,na,,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000116,Kabarett-Tage Dübendorf,-0,Dübendorf,Dübendorf,ZH ,,,,na,1995-1998,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000117,Erlach lacht,FES VOK,Erlach,Erlach,BE,,,,a,,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000118,Festival Belluard Bollwerk International,FES,Freiburg,Freiburg,FR,,,,a,,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000119,Volksbühnen-Festival,-0,Freiburg,Freiburg,FR,,,,na,1991,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000120,FriScènes (Festival International de Théâtre Fribourg),,Fribourg,Fribourg,FR,,,,a,,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000121,Juilletdanse,FES STT,Fribourg,Fribourg,FR,,,,a,,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000122,Le printemps des compagnies (festival),FES,Fribourg,Fribourg: Théâtre des Osses,FR,,,,a,,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000123,Mourrire Festival de l'humour et du rire,-0,Fribourg,Fribourg (vor 1984: Pully),FR/VD,,,,na,,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000124,Semaine Suisse du théâtre d'animation,-0,Genève,Genève: Théatre St. Gervais,GE,,,,na,,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000125,"C'est déja demain (jeunes comédiens, jeunces compagnies) (Théâtre du Loup)",FES,Genève,Genève: Théâtre du Loup,GE,,,,a,,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000126,Festival Antigel,FES,Genève,Genève,GE,,,,a,,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000127,Festival Archipel (festival des musiques d'aujourd'hui),FES,Genève,Genève,GE,,,,a,?,,,,1 C,(1993)-
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000128,Festival Bouche à Oreille,FES,Genève,Genève:  Théâtre Spirale,GE,,,,a,,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000129,Festival d'Ateliers-Théâtre,FES,Genève,Genève,GE,,,,a,1998-,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000130,Festival du rire,FES VOK,Genève,Genève,GE,,,,a,,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000131,Festival Les Singulières,FES,Genève,Genève: Théâtre de Poche,GE,,,,a,,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000132,Festival International de Flamenco,FES STT,Genève,Genève,GE,,,,a,,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000133,Festival international de spectacle pour jeune public,-0,Genève,Genève,GE,,,,na,1979-1983?,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000134,Festival musiques et sciences,FES,Genève,Genève,GE,,,,a,,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000135,Festival Poussière du Monde,FES,Lancy (Grand-Lancy),Genève,GE,,,,a,,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000136,Fête du Théâtre,FES,Genève,Genève,GE,,,,a,,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000137,Geneva Burlesque Festival,FES,Genève,Genève,GE,,,,a,,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000138,Gratte-Bitume (Festival des Arts de la rue),FES,Genève,Genève,GE,,,,a,,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000139,La Bâtie – Festival de Genève (Festival de la Bâtie),FES,Genève,Genève,GE,,Corodis,,a,1977-,Festival du Bois de la Bâtie,,,3 S,(1978)-
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000140,Mai au Parc (Festival),FES,Lancy (Grand-Lancy),Genève,GE,,,,a,,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000141,Out of the Box (Biennale des Arts inclusifs),FES,Genève,Genève,GE,,,,a,,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000142,Festival Assemblages,FES,Genève (Troinex),Genève,GE,,,,a,,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000143,Dansez,FES STT,"Genève, Annemasse",Genève und Aufführungsstätten,GE,,,,a,,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000144,Festival Amadeus,FES,Genève?,Genève,GE,,,,a,,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000145,Voix de Fête,FES,Genève,Genève,GE,,,,a,,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000146,Schlossmediale Werdenberg,FES,Grabs (Werdenberg),Buchs-Werdenberg (SG),SG,,,,a,,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000147,Festival de rire et de rêves,FES,Grandson,Grandson,NE,,,,a,,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000148,Comedy Night Grindelwald,FES VOK,Grindelwald,Grindelwald,BE,,KTV,,a,,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000149,Menuhin Festival Gstaad,FES,Gstaad,Gstaad,BE,,,,a,,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000150,Internationales Gauklerfest Interlaken,FES,Interlaken,Interlaken,BE,,,,a,,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000151,Terra e Laghi (Festival di teatro nell’ insubria),FES,Italien (Varese?),CH: Einz. Reg.: Ital. Schweiz,,,,,a,,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000152,Kabarett in Kreuzlingen (KiK),FES VOK,Kreuzlingen,Kabarett: Kreuzlingen,TG,,,,a,,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000153,Triangel (Internationales Kinder- und Jugendtheaterfestival),-0,Kreuzlingen (und Konstanz und Steckborn),Kreuzlingen,TG,,,,na,,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000154,Antilope Festival,FES,La Chaux-de-Fonds,La Chaux-de-Fonds,NE,,,,a,,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000155,Biennale du Théâtre,-0,La Chaux-de-Fonds,La Chaux-de-Fonds,NE,,,,na,,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000156,La Plage des Six Pompes,FES,La Chaux-de-Fonds,La Chaux-de-Fonds,NE,,,,a,,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000157,La Tour en Scène,FES ATV,La Tour-de-Peilz,La Tour-De-Peilz,VD,,,,a,,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000158,Fliessende Grenzen (Kulturtage),FES,Laufenburg,Laufenburg,AG,,,,a,,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000159,Festival de la Cité Lausanne,FES,Lausanne,"Lausanne (wenn Grundsätzliches, mehrere Aufführungen und ausländische Gastspiele), unter Stammort der einzelnen CH-Theater",VD,,,,a,,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000160,Festival International de Lausanne,-0,Lausanne,"Lausanne: Festival International ... (wenn Grundsätzliches oder mehrere Aufführungen), Kopie an Stammort der einz. Theater, wenn 1-2 Aufführungen, Original unter Lausanne: Festival",VD,,,,na,1955-1984,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000161,Festival International de Marionnettes pour Adultes,-0,Lausanne,Lausanne,VD,,,,na,,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000162,Festival international de théâtre contemporain,-0,Lausanne,Lausanne,VD,,,,na,"1984, 1989, 1992, 1994",,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000163,Journées TacTacTac (Journées Tac Tac Tac),FES,Lausanne,Lausanne,VD,,,,a,2016-,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000164,Les Printemps de Sévelin,FES,Lausanne,Lausanne: Théâtre Sévelin 36,VD,,,,a,,,,,,
spa:DatenbankUrsFestivals,STS-DatenbankUrsFestivals00000165,Les Urbaines (Festival),FES,Lausanne,Lausanne,VD,,Premio,,a,,,,,,
